Title,Description,Module_Name,Inline Description,Document,Link
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 41 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_Family_H.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 28.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2021-2023,,[PDF - 109 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ-FAM-L-508.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2011-2012_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 43 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2013-2014_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 46 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2015-2016_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 53.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2019-2020_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 45 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/fsq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 56 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FSQ_Family_H.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 128 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FSQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 103 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FSQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 152 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FSQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2021-2023,,[PDF - 179 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FSQ-FAM-L-508.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 10 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/hoq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 10 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HOQ_Family_H.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 10 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HOQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HOQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 14.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HOQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2021-2023,,[PDF - 98.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HOQ-FAM-L-508.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 146 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/inq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 158 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/INQ_Family_H.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 142 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/INQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 157 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/INQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 108 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/INQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2021-2023,,[PDF - 175 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/INQ-FAM-L-508.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 13 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ocq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 13 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ_Family_H.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 13 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 13 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 62.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SUQ_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2011-2012,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/smq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2013-2014,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_Family_H.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2015-2016,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_Family_I.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 14.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2021-2023,,[PDF - 104 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ-FAM-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 25 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/acq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 26 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 24 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 30 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 23.2 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 85.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 45 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/auq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/AUQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 91 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/AUQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 58.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/AUQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 132 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/AUQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 100 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/BAQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 31 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/bpq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 24 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/BPQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/BPQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 47 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/BPQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 19.6 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/BPQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 108 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/BPQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 22 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/cdq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 16 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CDQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 16 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CDQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 60 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CDQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 16.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CDQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 38 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/csq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 36 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/CSQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 204 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/COQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 86 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/dmq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 88 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 127 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 94 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 68.8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 147 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DMQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 27 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/deq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DEQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DEQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 66 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DEQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 18.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DEQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 77.2 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DEQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 55 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/diq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 49 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DIQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 49 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DIQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 86 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DIQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 50.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DIQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 95.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DIQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 65 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DBQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 85 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DBQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 121 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DBQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 124 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DBQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 70 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/dbq.pdf
