,Column,Code,Label,English_Text,Target,Class,Other For
1121,LBXWME,0.0707 To 1.9,Range Of Values,"['Methyl tert. butyl ether (MTBE) Result', 'Water Methyl tert. butyl ether (MTBE) Result (ng/mL)', 'Water Methyl tert. butyl ether (MTBE) Result', 'Water MTBE (ng/mL)', 'Water Methyl-tert-butyl ether (MTBE) (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1123,LBXWME,0.0707 To 1.3,Range Of Values,"['Methyl tert. butyl ether (MTBE) Result', 'Water Methyl tert. butyl ether (MTBE) Result (ng/mL)', 'Water Methyl tert. butyl ether (MTBE) Result', 'Water MTBE (ng/mL)', 'Water Methyl-tert-butyl ether (MTBE) (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1125,LBXWME,0.0707 To 1.5,Range Of Values,"['Methyl tert. butyl ether (MTBE) Result', 'Water Methyl tert. butyl ether (MTBE) Result (ng/mL)', 'Water Methyl tert. butyl ether (MTBE) Result', 'Water MTBE (ng/mL)', 'Water Methyl-tert-butyl ether (MTBE) (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1127,LBXWME,0.0707 To 10.7,Range Of Values,"['Methyl tert. butyl ether (MTBE) Result', 'Water Methyl tert. butyl ether (MTBE) Result (ng/mL)', 'Water Methyl tert. butyl ether (MTBE) Result', 'Water MTBE (ng/mL)', 'Water Methyl-tert-butyl ether (MTBE) (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1129,LBXWME,0.0707 To 17.6,Range Of Values,"['Methyl tert. butyl ether (MTBE) Result', 'Water Methyl tert. butyl ether (MTBE) Result (ng/mL)', 'Water Methyl tert. butyl ether (MTBE) Result', 'Water MTBE (ng/mL)', 'Water Methyl-tert-butyl ether (MTBE) (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1131,LBXV4C,0.0144 To 9.7,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1132,LBXV4C,.,Missing,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1133,LBXV4C,0.0187 To 14.6,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1135,LBXV4C,0.0339 To 14,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1137,LBXV4C,0.0339 To 40,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1139,LBXV4C,0.0339 To 9.44,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1141,LBXV4C,0.0339 To 6.94,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1143,LBXV4C,0.0339 To 57.5,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1145,LBXV4C,0.0339 To 5.62,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1147,LBXV4C,0.0339 To 16,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
1149,LBXV4C,0.034 To 16,Range Of Values,"['Tetrachloroethene Result', 'Blood Tetrachloroethene Result (ng/mL)', 'Blood Tetrachloroethene Result', 'Blood Tetrachloroethene (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS', 'Both males and females 18 YEARS - 150 YEARS']",,
