,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
169,LBC199,.,Missing,22334566-Octachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
170,LBC199LA,0.1344 To 42.02,Range Of Values,22334566-Octachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
171,LBC199LA,.,Missing,22334566-Octachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
172,LBD199LC,0,At Or Above The Detection Limit,22334566-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
173,LBD199LC,1,Below Lower Detection Limit,22334566-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
174,LBD199LC,.,Missing,22334566-Octachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
175,LBC206,0.7071 To 183.3,Range Of Values,223344556-Nonachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
176,LBC206,.,Missing,223344556-Nonachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
177,LBC206LA,0.1344 To 34.91,Range Of Values,223344556-Nonachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
178,LBC206LA,.,Missing,223344556-Nonachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
179,LBD206LC,0,At Or Above The Detection Limit,223344556-Nonachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
180,LBD206LC,1,Below Lower Detection Limit,223344556-Nonachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
181,LBD206LC,.,Missing,223344556-Nonachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
182,LBC209,0.7071 To 89.65,Range Of Values,Decachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
183,LBC209,.,Missing,Decachlorobiphenyl (pg/g),Both males and females 12 YEARS - 150 YEARS,nan,,
184,LBC209LA,0.1061 To 15.83,Range Of Values,Decachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
185,LBC209LA,.,Missing,Decachlorobiphenyl Lipid Adjusted (ng/g),Both males and females 12 YEARS - 150 YEARS,nan,,
186,LBD209LC,0,At Or Above The Detection Limit,Decachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
187,LBD209LC,1,Below Lower Detection Limit,Decachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
188,LBD209LC,.,Missing,Decachlorobiphenyl Comment Code,Both males and females 12 YEARS - 150 YEARS,nan,,
