"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_D","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""587.82468143 to 338460.18501"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9349"", ""601""]; Cumulative=[""9349"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TKCAL","DR2TKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9119"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TPROT","DR2TPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 354.03"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TCARB","DR2TCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1416.53"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TSUGR","DR2TSUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 952.98"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TFIBE","DR2TFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 100.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TTFAT","DR2TTFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 361.86"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TSFAT","DR2TSFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 137.599"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TMFAT","DR2TMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 169.237"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TPFAT","DR2TPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 117.203"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TCHOL","DR2TCHOL","Cholesterol (mg)","Cholesterol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3428"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TATOC","DR2TATOC","Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 63.96"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TATOA","DR2TATOA","Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 62.84"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TRET","DR2TRET","Retinol (mcg)","Retinol (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 19389"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TVARA","DR2TVARA","Vitamin A RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 19726"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TACAR","DR2TACAR","Alpha-carotene (mcg)","Alpha-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 25710"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TBCAR","DR2TBCAR","Beta-carotene (mcg)","Beta-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 59688"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TCRYP","DR2TCRYP","Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4746"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TLYCO","DR2TLYCO","Lycopene (mcg)","Lycopene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 244578"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TLZ","DR2TLZ","Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 54705"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TVB1","DR2TVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12.616"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TVB2","DR2TVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 18.822"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TNIAC","DR2TNIAC","Niacin (mg)","Niacin (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 158.858"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TVB6","DR2TVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 27.448"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TFOLA","DR2TFOLA","Total folate (mcg)","Total folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5451"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TFA","DR2TFA","Folic acid (mcg)","Folic acid (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5252"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TFF","DR2TFF","Food folate (mcg)","Food folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1320"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TFDFE","DR2TFDFE","Folate DFE (mcg)","Folate as dietary folate equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9131"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TCHL","DR2TCHL","Total choline (mg)","Total choline (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1665"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TVB12","DR2TVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 208.73"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TB12A","DR2TB12A","Added vitamin B12 (mcg)","Added vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 80.09"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TVC","DR2TVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1308.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TVK","DR2TVK","Vitamin K (mcg)","Vitamin K (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2363.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TCALC","DR2TCALC","Calcium (mg)","Calcium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""14 to 5374"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TPHOS","DR2TPHOS","Phosphorus (mg)","Phosphorus (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5460"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TMAGN","DR2TMAGN","Magnesium (mg)","Magnesium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""4 to 1476"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TIRON","DR2TIRON","Iron (mg)","Iron (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 129.41"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TZINC","DR2TZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.05 to 390.74"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TCOPP","DR2TCOPP","Copper (mg)","Copper (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.043 to 37.571"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TSODI","DR2TSODI","Sodium (mg)","Sodium (mg) (adjusted for salt use in food preparation)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""19 to 18372"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TPOTA","DR2TPOTA","Potassium (mg)","Potassium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10419"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TSELE","DR2TSELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 867.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TCAFF","DR2TCAFF","Caffeine (mg)","Caffeine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2578"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TTHEO","DR2TTHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 799"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TALCO","DR2TALCO","Alcohol (gm)","Alcohol (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 214.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TMOIS","DR2TMOIS","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""55.32 to 12187.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS040","DR2TS040","SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.666"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS060","DR2TS060","SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2.904"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS080","DR2TS080","SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10.414"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS100","DR2TS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7.707"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS120","DR2TS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 34.656"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS140","DR2TS140","SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15.763"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS160","DR2TS160","SFA 16:0 (Hexadecanoic) (gm)","SFA 16:0 (Hexadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 67.868"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TS180","DR2TS180","SFA 18:0 (Octadecanoic) (gm)","SFA 18:0 (Octadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 37.123"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TM161","DR2TM161","MFA 16:1 (Hexadecenoic) (gm)","MFA 16:1 (Hexadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9.659"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_D","DR2TM181","DR2TM181","MFA 18:1 (Octadecenoic) (gm)","MFA 18:1 (Octadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 164.17"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8264"", ""1686""]; Cumulative=[""8264"", ""9950""]; Skip.to.Item=[""NA"", ""NA""]"
