"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_L","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_L","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""5708.632624 to 408505.81364"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""6754"", ""2106"", ""0""]; Cumulative=[""6754"", ""8860"", ""8860""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_L","DR2TNUMF","DR2TNUMF","Number of foods/beverages reported","Total number of foods/beverages reported in the individual foods file","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 40"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5879"", ""2981""]; Cumulative=[""5879"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2STY","DR2STY","Salt used at table yesterday?","Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt lite salt or a salt substitute.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""9"", ""."", ""1"", ""2""]; Value.Description=[""Don't know"", ""Missing"", ""Yes"", ""No""]; Count=[""10"", ""2958"", ""1074"", ""4818""]; Cumulative=[""5902"", ""8860"", ""1074"", ""5892""]; Skip.to.Item=[""DR2TKCAL"", """", """", ""DR2TKCAL""]"
"DR2TOT_L","DR2SKY","DR2SKY","Type of salt used yesterday","What type of salt was it? (Was it ordinary or sea salt lite salt or a salt substitute?)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""91"", ""99"", "".""]; Value.Description=[""Ordinary, sea, seasoned, or other flavored salt"", ""Lite salt"", ""Salt substitute"", ""Other"", ""Don't know"", ""Missing""]; Count=[""1018"", ""39"", ""15"", ""0"", ""2"", ""7786""]; Cumulative=[""1018"", ""1057"", ""1072"", ""1072"", ""1074"", ""8860""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_L","DR2TKCAL","DR2TKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10233"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TPROT","DR2TPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 337.77"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TCARB","DR2TCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1300.59"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TSUGR","DR2TSUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 716.29"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TFIBE","DR2TFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 102.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TTFAT","DR2TTFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 545.82"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TSFAT","DR2TSFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 227.727"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TMFAT","DR2TMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 204.475"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TPFAT","DR2TPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 137.68"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TCHOL","DR2TCHOL","Cholesterol (mg)","Cholesterol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2843"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TATOC","DR2TATOC","Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 127.68"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TATOA","DR2TATOA","Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 109.23"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TRET","DR2TRET","Retinol (mcg)","Retinol (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 28666"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVARA","DR2TVARA","Vitamin A RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 29436"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TACAR","DR2TACAR","Alpha-carotene (mcg)","Alpha-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 21552"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TBCAR","DR2TBCAR","Beta-carotene (mcg)","Beta-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 54134"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TCRYP","DR2TCRYP","Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5374"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TLYCO","DR2TLYCO","Lycopene (mcg)","Lycopene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 137752"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TLZ","DR2TLZ","Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 68086"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVB1","DR2TVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12.846"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVB2","DR2TVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 47.712"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TNIAC","DR2TNIAC","Niacin (mg)","Niacin (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 299.163"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVB6","DR2TVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 40.491"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TFOLA","DR2TFOLA","Total folate (mcg)","Total folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2294"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TFA","DR2TFA","Folic acid (mcg)","Folic acid (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1697"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TFF","DR2TFF","Food folate (mcg)","Food folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1750"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TFDFE","DR2TFDFE","Folate DFE (mcg)","Folate as dietary folate equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3217"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TCHL","DR2TCHL","Total choline (mg)","Total choline (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2219.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVB12","DR2TVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 307.41"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TB12A","DR2TB12A","Added vitamin B12 (mcg)","Added vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 112.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVC","DR2TVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1055.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVD","DR2TVD","Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 63.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TVK","DR2TVK","Vitamin K (mcg)","Vitamin K (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3398.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TCALC","DR2TCALC","Calcium (mg)","Calcium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 8419"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TPHOS","DR2TPHOS","Phosphorus (mg)","Phosphorus (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13674"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TMAGN","DR2TMAGN","Magnesium (mg)","Magnesium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 1667"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TIRON","DR2TIRON","Iron (mg)","Iron (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 77.17"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TZINC","DR2TZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 67.76"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TCOPP","DR2TCOPP","Copper (mg)","Copper (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.03 to 54.725"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TSODI","DR2TSODI","Sodium (mg)","Sodium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 26274"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TPOTA","DR2TPOTA","Potassium (mg)","Potassium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 16193"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TSELE","DR2TSELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1035.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TCAFF","DR2TCAFF","Caffeine (mg)","Caffeine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1466"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TTHEO","DR2TTHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 832"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TALCO","DR2TALCO","Alcohol (gm)","Alcohol (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 329.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TMOIS","DR2TMOIS","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""85.36 to 46341.78"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TS040","DR2TS040","SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9.468"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TS060","DR2TS060","SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5.694"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TS080","DR2TS080","SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13.867"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TS100","DR2TS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8.408"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TS120","DR2TS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 44.439"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_L","DR2TS140","DR2TS140","SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 31.043"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5830"", ""3030""]; Cumulative=[""5830"", ""8860""]; Skip.to.Item=[""NA"", ""NA""]"
