,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
403,TYXP232,,,,,,,,,,
404,TYXP233,,,,,,,,,,
405,TYXP234,,,,,,,,,,
406,TYXP235,,,,,,,,,,
407,TYXP236,,,,,,,,,,
408,TYXP237,,,,,,,,,,
409,TYXP238,,,,,,,,,,
410,TYXP239,,,,,,,,,,
411,TYXP240,,,,,,,,,,
412,TYXP241,,,,,,,,,,
413,TYXP242,,,,,,,,,,
414,TYXP243,,,,,,,,,,
415,TYXP244,,,,,,,,,,
416,TYXP245,,,,,,,,,,
417,TYXP246,,,,,,,,,,
418,TYXP247,,,,,,,,,,
419,TYXP248,,,,,,,,,,
420,TYXP249,,,,,,,,,,
421,TYXP250,,,,,,,,,,
422,TYXP251,,,,,,,,,,
423,TYXP252,,,,,,,,,,
424,TYXP253,,,,,,,,,,
425,TYXP254,,,,,,,,,,
426,TYXP255,,,,,,,,,,
427,TYXP256,,,,,,,,,,
428,TYXA001,,,,,,,,,,
429,TYXA002,,,,,,,,,,
430,TYXA003,,,,,,,,,,
431,TYXA004,,,,,,,,,,
432,TYXA005,,,,,,,,,,
433,TYXA006,,,,,,,,,,
434,TYXA007,,,,,,,,,,
435,TYXA008,,,,,,,,,,
436,TYXA009,,,,,,,,,,
437,TYXA010,,,,,,,,,,
438,TYXA011,,,,,,,,,,
439,TYXA012,,,,,,,,,,
440,TYXA013,,,,,,,,,,
441,TYXA014,,,,,,,,,,
442,TYXA015,,,,,,,,,,
443,TYXA016,,,,,,,,,,
444,TYXA017,,,,,,,,,,
445,TYXA018,,,,,,,,,,
446,TYXA019,,,,,,,,,,
447,TYXA020,,,,,,,,,,
448,TYXA021,,,,,,,,,,
449,TYXA022,,,,,,,,,,
450,TYXA023,,,,,,,,,,
451,TYXA024,,,,,,,,,,
452,TYXA025,,,,,,,,,,
453,TYXA026,,,,,,,,,,
454,TYXA027,,,,,,,,,,
455,TYXA028,,,,,,,,,,
456,TYXA029,,,,,,,,,,
457,TYXA030,,,,,,,,,,
458,TYXA031,,,,,,,,,,
459,TYXA032,,,,,,,,,,
460,TYXA033,,,,,,,,,,
461,TYXA034,,,,,,,,,,
462,TYXA035,,,,,,,,,,
463,TYXA036,,,,,,,,,,
464,TYXA037,,,,,,,,,,
465,TYXA038,,,,,,,,,,
466,TYXA039,,,,,,,,,,
467,TYXA040,,,,,,,,,,
468,TYXA041,,,,,,,,,,
469,TYXA042,,,,,,,,,,
470,TYXA043,,,,,,,,,,
471,TYXA044,,,,,,,,,,
472,TYXA045,,,,,,,,,,
473,TYXA046,,,,,,,,,,
