Lab Method Name,Documentation,Release Date,PDF Link
Hepatitis C Antibody - Genotyping Assay,[PDF - 148 KB],May 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepc_d_met_lbxhcg.pdf
Hepatitis C Antibody - HCV RNA Quantification Assay,[PDF - 191 KB],May 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepc_d_met_lbxhcr.pdf
Hepatitis D,[PDF - 148 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hepbd_d_met_hepatitis_d.pdf
Herpes Simplex Virus I and II,[PDF - 122 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hsv_d_met_herpes_1_2.pdf
HPV Serum 4-Multiplex Luminex,[PDF - 644 KB],December 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/HPVSER_D_MET.pdf
HPV Serum 9-Multiplex Luminex,[PDF - 613 KB],January 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hpvsrm_d_met.pdf
HPV Vaginal Swab Digene High Risk,[PDF - 721 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/HPVSWR_D_MET_Digene.pdf
HPV Vaginal Swab Linear Array,[PDF - 800 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/HPVSWR_D_MET_LA.pdf
Human Immunodeficiency Virus (HIV),[PDF - 186 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hiv_d_met_eia_wb.pdf
"Human Papillomavirus (HPV) - 6, 11, 16, 18, 31, 33, 45, 52, and 58 Antibody - Serum: M9ELISA",[PDF - 830 KB],January 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/HPVN-D-R-MET-508.pdf
Insulin,[PDF - 219 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/glu_d_met_insulin.pdf
Iron,[PDF - 89 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/fetib_d_met_iron.pdf
Multiplexed Assay for Indoor Allergens,[PDF - 775 KB],February 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/aldust_d_met_-indoor_allergens_maria.pdf
N-terminal hemoglobin adducts of acrylamide and glycidamide,[PDF - 2.19 MB],October 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/AMDGYD_D_met.pdf
Parathyroid Hormone,[PDF - 462 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/pth_d_met_parathyroid_hormone.pdf
PCBs and Persistent Pesticides,[PDF - 2.51 MB],July 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/pcbpol_-pstpl_sd_met_polychlorinated-biphenyls_pesticides_with_pcb_charts.pdf
PCBs and Persistent Pesticides,[PDF - 933 KB],July 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/pcbpol_-pstpl_sd_met_polychlorinated-biphenyls_pesticides_with_pst_charts.pdf
"PCDDs, PCDFs, cPCBs, PBDDs and PBDFs",[PDF - 1.67 MB],July 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/dox_d_met_dioxins_furans_brominated-dioxins.pdf
"PCDDs, PCDFs, cPCBs, PBDDs and PBDFs",[PDF - 1 MB],July 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/bdox_d_met_dioxins_furans_brominated-dioxins.pdf
"Perchlorate, Nitrate, and Iodide in Tap Water",[PDF - 230 KB],April 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/wpin_d_met.pdf
Plasma Fasting Glucose,[PDF - 74 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/glu_d_met_fasting_glucose.pdf
Polybrominated diphenyl ethers (PBDEs),[PDF - 1.16 MB],July 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/bfr_met_d_polybrominated_diphenyl_ethers-pbde.pdf
Polyfluorochemicals Compounds,[PDF - 284 KB],August 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/pfc_d_met.pdf
Prostate-Specific Antigen (PSA) - Free,[PDF - 169 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/psa_d_met_free_psa.pdf
Prostate-Specific Antigen (PSA) - Total,[PDF - 162 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/psa_d_met_total_psa.pdf
RBC Folate and Serum Folate,[PDF - 276 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/folate_b12_d_met.pdf
Serum Cotinine,[PDF - 358 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/cot_d_met_cotinine.pdf
Speciated Arsenic after Serum Continine,[PDF - 1.16 MB],January 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/UAS-D-MET-ARSENIC-SPECIATED-508.pdf
Standard Biochemistry Profile: Alanine Amino Transferase (ALT),[PDF - 91 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_alt.pdf
Standard Biochemistry Profile: Albumin,[PDF - 101 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_albumin.pdf
Standard Biochemistry Profile: Alkaline Phosphatase (ALP),[PDF - 98 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_alp.pdf
Standard Biochemistry Profile: Aspartate Aminotransferase (AST),[PDF - 109 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_ast.pdf
Standard Biochemistry Profile: Bicarbonate (HCO3),[PDF - 100 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_bicarbonate.pdf
Standard Biochemistry Profile: Bilirubin,[PDF - 102 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_bilirubin.pdf
Standard Biochemistry Profile: Blood Urea Nitrogen (BUN),[PDF - 100 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_bun.pdf
Standard Biochemistry Profile: Chloride,[PDF - 108 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_chloride.pdf
Standard Biochemistry Profile: Cholesterol,[PDF - 97 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_cholesterol.pdf
Standard Biochemistry Profile: Creatinine,[PDF - 105 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_creatinine.pdf
Standard Biochemistry Profile: Gamma-Glutamyl Transferase (GGT),[PDF - 100 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_ggt.pdf
Standard Biochemistry Profile: Glucose,[PDF - 96 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_glucose.pdf
Standard Biochemistry Profile: Iron,[PDF - 103 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_iron.pdf
Standard Biochemistry Profile: Lactate Dehydrogenase (LDH),[PDF - 97 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_ldh.pdf
Standard Biochemistry Profile: Phosphorus,[PDF - 102 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_phosphorus.pdf
Standard Biochemistry Profile: Potassium,[PDF - 97 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_potassium.pdf
Standard Biochemistry Profile: Sodium,[PDF - 97 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_sodium.pdf
Standard Biochemistry Profile: Total Calcium,[PDF - 99 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_calcium.pdf
Standard Biochemistry Profile: Total Protein,[PDF - 100 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_total_protein.pdf
Standard Biochemistry Profile: Triglycerides,[PDF - 99 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_triglycerides.pdf
Standard Biochemistry Profile: Uric Acid,[PDF - 97 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/biopro_d_met_uric_acid.pdf
Total Arsenics,[PDF - 399 KB],January 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/uas_d_met.pdf
Total Cholesterol - Hitachi 717,[PDF - 186 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/tchol_d_met_h717.pdf
Total Cholesterol - Hitachi 912,[PDF - 176 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/tchol_d_met_h912.pdf
Total Homocysteine,[PDF - 137 KB],March 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/hcy_d_met.pdf
Total Iron Binding Capacity (TIBC),[PDF - 86 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/fetib_d_met_tibc.pdf
Transferrin Receptor,[PDF - 175 KB],April 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/tfr_d_met_transferrin_receptor.pdf
Triglycerides - Hitachi 717,[PDF - 148 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/trigly_d_met_triglyceride_h717.pdf
Triglycerides - Hitachi 912,[PDF - 111 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/trygly_d_met_triglyceride_h912.pdf
Two Hour Oral Glucose Tolerance Test,[PDF - 74 KB],January 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/ogtt_d_met_two_hour_glucose.pdf
Urinary Albumin,[PDF - 162 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/alb_cr_d_met_albumin.pdf
Urinary Carbamates and Organophosphorus Pesticides,[PDF - 715 KB],February 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/carb_op_met_carbamates.pdf
Urinary Chlamydia trachomatis and Neisseria gonorrhoeae,[PDF - 192 KB],May 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/chlmda_d_met_chlamydia.pdf
Urinary Creatinine,[PDF - 142 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/alb_cr_d_met_creatinine.pdf
Urinary Heavy Metals,[PDF - 375 KB],October 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/uhm_d_met.pdf
Urinary Iodine and Mercury,[PDF - 242 KB],August 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/urinary_iodine_mercury_met_d.pdf
Urinary Phthalates,[PDF - 482 KB],February 2010,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/phthte_d_met.pdf
Urinary Phytoestrogens,[PDF - 698 KB],October 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/phyto_d_met_phytoestrogens.pdf
Vitamin B12,[PDF - 276 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/folate_b12_d_met.pdf
Vitamin B6,[PDF - 289 KB],September 2010,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/vitb6_d_met.pdf
Vitamin C,[PDF - 186 KB],February 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/vic_d_met.pdf
Vitamin D (25-Hydroxyvitamin D),[PDF - 261 KB],October 2015,https://wwwn.cdc.gov/nchs/nhanes/vitamind/analyticalnote.aspx?h=/nchs/data/nhanes/public/2005/labmethods/VID_D_met_Vitamin_D.pdf&t=2005-2006%20Vitamin%20D%20Lab%20Method
"Vitamins A, E, and Carotenoids",[PDF - 266 KB],July 2009,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/vitaec_d_met_aecar.pdf
Volatile Organic Compounds (VOCs) in Whole Blood,[PDF - 2.65 MB],December 2011,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/vocwb_d_met_volatile-organic-compounds.pdf
Volatile Organic Compounds in Water,[PDF - 835 KB],January 2010,https://wwwn.cdc.gov/nchs/data/nhanes/public/2005/labmethods/l04voc_d_met_-voc_water.pdf
