Lab Method Name,Documentation,Release Date,PDF Link
Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides,[PDF - 731 KB],January 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/TRIGLY_I_MET.pdf
Chromium and Cobalt,[PDF - 1.49 MB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/CRCO_I_MET_Chromium and Cobalt.pdf
Complete Blood Count,[PDF - 12.6 MB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/CBC_I_MET_Complete_Blood_Count.pdf
Cotinine and Hydroxycotinine,[PDF - 1.40 MB],April 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/COT_I_MET.pdf
"Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine",[PDF - 2.55 MB],September 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UCOT_I_UCOTS_I_Urinary_Nicotine_Metabolites_and_Analogs_MET.pdf
Creatine Kinase,[PDF - 670 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_CPK_DXC800and660i.pdf
Creatinine (DXC 660i),[PDF - 670 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_CREATININE_DXC660i.pdf
Creatinine (DXC 800),[PDF - 617 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_CREATININE_DXC800.pdf
DEET Metabolite - Urine,[PDF - 1.17 MB],August 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/DEET_I_MET.pdf
Ferritin,[PDF - 932 KB],May 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/FERTIN_I_MET.pdf
Fluoride in Plasma,[PDF - 854 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/FLDEP_I_MET.pdf
Fluoride in Water,[PDF - 855 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/FLDEW_I_MET.pdf
Folate - RBC,[PDF - 1.19 MB],February 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/FOLATE-I-MET-508.pdf
Folate Vitamers,[PDF - 2.04 MB],February 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/FOLFMS_I_MET.pdf
Formaldehyde,[PDF - 1.02 MB],January 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/FORMAL_I_MET.pdf
Gamma-Glutamyl Transferase (GGT),[PDF - 653 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_GGT_DXC800and660i.pdf
Glucose,[PDF - 645 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_GLUCOSE_DXC800and660i.pdf
Glycohemoglobin,[PDF - 875 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/GHB_I_MET.pdf
HDL- Cholesterol,[PDF - 724 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HDL_I_MET.pdf
Hepatitis A Antibody,[PDF - 630 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPA_I_MET.pdf
Hepatitis B Core Antibody,[PDF - 674 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPBD_I_MET_HEPATITIS_B_CORE_ANTIBODY.pdf
Hepatitis B Surface Antibody,[PDF - 686 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPB_S_I_MET.pdf
Hepatitis B Surface Antigen,[PDF - 840 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPBD_I_MET_HEPATITIS_B_SURFACE_ANTIGEN.pdf
Hepatitis C Antibody / Hepatitis C Confirmatory Test (Anti-HCV),[PDF - 808 KB],January 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPC_I_R_MET_HEPATITIS_C_ANTIBODY_CONFIRMED.pdf
Hepatitis C Genotype,[PDF - 687 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPC_I_MET_HEPATITIS_C_GENOTYPE.pdf
Hepatitis C virus RNA,[PDF - 752 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPC_I_MET_HEPATITIS_C_RNA.pdf
Hepatitis D Antibody,[PDF - 614 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPBD_I_MET_HEPATITIS_D_ANTIBODY.pdf
Hepatitis E IgG Antibody,[PDF - 700 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPE_I_MET_HEPATITIS_E_IgG_ANTIBODY.pdf
Hepatitis E IgM Antibody,[PDF - 700 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HEPE_I_MET_HEPATITIS_E_IgM_ANTIBODY.pdf
Herpes Simplex Virus Type 1 and 2,[PDF - 102 KB],December 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HSV_I_MET.pdf
High Sensitivity C-Reactive Protein,[PDF - 685 KB],May 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HSCRP_I_MET.pdf
HIV Antibody / HIV-1/HIV-2 Differentiation Assay,[PDF - 966 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HIV_I_MET_MS.pdf
HIV-1 RNA,[PDF - 724 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HIV_I_MET_APTIMA.pdf
HIV-1/HIV-2 Serology testing,[PDF - 697 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HIV_I_MET_COMBO_EIA.pdf
HPV Vaginal Swab Cobas High Risk,[PDF - 123 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HPVSWC_I_HPVC_I_R_MET.pdf
HPV Vaginal Swab Linear Array,[PDF - 232 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HPVSWR_I_HPVS_I_R_MET.pdf
Human Papillomavirus (HPV) - Oral Rinse,[PDF - 681 KB],January 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/ORHPV_I_MET.pdf
"Human papillomavirus (HPV) 6,11,16,18,31,33,45,52 and 58 Antibodies",[PDF - 2.45 MB],Updated September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HPVN-I-R-MET-508.pdf
Human Papillomavirus (HPV) Results from Penile Swab Samples,[PDF - 887 KB],November 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/HPVP_I_MET.pdf
"Inorganic Mercury, Methyl Mercury, Ethyl Mercury",[PDF - 1.27 MB],June 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/IHgEM_I_MET.pdf
Insulin,[PDF - 341 KB],June 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/INS_I_MET.pdf
Iodine and Mercury,[PDF - 1.33 MB],June 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UIO_UHG_I_MET.pdf
Iron,[PDF - 676 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_IRON_DXC800and660i.pdf
Lactate Dehydrogenase (LDH),[PDF - 652 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_LDH_DXC800and660i.pdf
"Metals, Urinary",[PDF - 2.12 MB],June 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UTAS_UTASS_UM_UMS_I_MET.pdf
Organophosphate Insecticides - Dialkyl Phosphate Metabolites (OPD),[PDF - 1.27 MB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/OPD-I-MET-508.pdf
Perfluoroalkyl and Polyfluoroalkyl Substances (PFAS),[PDF - 1.53 MB],September 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/PFAS_I_MET.pdf
Personal Care and Consumer Product Chemicals and Metabolites,[PDF - 1.57 MB],January 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/EPHPP_I_MET.pdf
Phosphorus,[PDF - 618 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_PHOSPHORUS_DXC800and660i.pdf
Phthalates and Phthalate Alternative Metabolites,[PDF - 1.89 MB],October 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/PHTHTE_I_MET.pdf
Plasma Fasting Glucose,[PDF - 992 KB],September 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/GLU_I_MET_C311.pdf
Plasma Fasting Glucose,[PDF - 838 KB],September 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/GLU_I_MET_C501.pdf
Polyaromatic Hydrocarbons (PAH) - Urine,[PDF - 1.38 MB],July 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/PAH-I-PAHS-I-MET-508.pdf
Polybrominated diphenyl ethers (PBDEs),[PDF - 2.21 MB],August 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BFRPOL_I_MET.pdf
"Polybrominated diphenyl ethers (PBDEs), Polybrominated Biphenyls (PBBs), Polychlorinated biphenyls (PCBs) and Persistent Pesticides (PPs) - Serum",[PDF - 2.37 MB],August 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/PSTPOL_I_MET.pdf
"Polybrominated diphenyl ethers (PBDEs), Polybrominated Biphenyls (PBBs), Polychlorinated biphenyls and Persistent Pesticides (PPs)",[PDF - 2.79 MB],August 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/PCBPOL_I_MET.pdf
Polychlorinated dibenzo-p-dioxins and furans (PCDD/F) and co-planar polychlorinated biphenyls (cPCB),[PDF - 4.85 MB],July 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/DOXPOL-I-MET-508.pdf
Potassium,[PDF - 613 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_POTASSIUM_DXC800and660i.pdf
Sex Hormone-Binding Globulin,[PDF - 856 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/TST_I_MET_SHBG.pdf
Sodium,[PDF - 612 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_SODIUM_DXC800and660i.pdf
Soluble Transferrin Receptor,[PDF - 334 KB],May 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/TFR_I_MET.pdf
Total Calcium,[PDF - 658 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_CALCIUM_DXC800and660i.pdf
Total Cholesterol,[PDF - 727 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/TCHOL_I_MET.pdf
Total Estradiol and Total Testosterone,[PDF - 1.37 MB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/TST_I_MET_TST_EST.pdf
Total Protein (DXC 660i),[PDF - 679 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_TOTAL_PROTEIN_DXC660i.pdf
Total Protein (DXC 800),[PDF - 672 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_TOTAL_PROTEIN_DXC800.pdf
Trichomonas Vaginalis,[PDF - 678 KB],December 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/TRICH_I_MET.pdf
Triglycerides,[PDF - 655 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_TRIGLYCERIDES_DXC800and660i.pdf
Universal Pesticides in Urine,[PDF - 1.55 MB],May 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UPHOPM-I-MET-508.pdf
Uric Acid,[PDF - 666 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/BIOPRO_I_MET_URIC_ACID_DXC800and660i.pdf
Urinary Cotinine and Hydroxycotinine,[PDF - 1.27 MB],September 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UCOT_I_UCOTS_I_Urinary_Cotinine_and_Hydroxycotinine_MET.pdf
"Urinary Perchlorate, Nitrate, and Thiocyanate",[PDF - 986 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/PERNT-PERNTS-I-MET-508.pdf
Urine Albumin,[PDF - 919 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/ALB_CR_I_MET_ALBUMIN.pdf
Urine Creatinine,[PDF - 765 KB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/ALB_CR_I_MET_CREATININE.pdf
Vitamin D,[PDF - 1.63 MB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/VID-I-MET-508.pdf
Volatile Organic Compounds (VOCs) and Metabolites - Urine,[PDF - 2.37 MB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/UVOC_UVOCS_I_MET.pdf
Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE,[PDF - 3.30 MB],September 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/VOCWB_VOCWBS_I_MET.pdf
"Zinc, Copper and Selenium",[PDF - 1.34 MB],December 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2015/labmethods/CUSEZN_I_MET.pdf
