"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SXQ_H","SXQ645","SXQ645","Use protection when performing oral sex","When you performed oral sex in the past 12 months how often would you use protection like a condom or dental dam?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Never"", ""Rarely"", ""Usually"", ""Always"", ""Unsure"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1815"", ""130"", ""100"", ""156"", ""50"", ""1"", ""1"", ""2804""]; Cumulative=[""1815"", ""1945"", ""2045"", ""2201"", ""2251"", ""2252"", ""2253"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXD871","SXD871",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ648","SXQ648","Had sex with new partner/year","In the past 12 months did you have any kind of sex with a person that you never had sex with before?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""590"", ""2442"", ""1"", ""0"", ""2024""]; Cumulative=[""590"", ""3032"", ""3033"", ""3033"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ859","SXQ859",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ610","SXQ610","# times had vaginal or anal sex/year","In the past 12 months about how many times have you had {vaginal or anal/vaginal/anal} sex?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""Never"", ""Once"", ""2-11 times"", ""12-51 times"", ""52-103 times"", ""104-364 times"", ""365 times or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""95"", ""135"", ""706"", ""1016"", ""632"", ""381"", ""43"", ""6"", ""7"", ""2036""]; Cumulative=[""95"", ""230"", ""936"", ""1952"", ""2584"", ""2965"", ""3008"", ""3014"", ""3021"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXD245","SXD245",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ251","SXQ251","# times had sex without condom/year","In the past 12 months about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Never"", ""Less than half of the time"", ""About half of the time"", ""Not always, but more than half of the time"", ""Always"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""741"", ""403"", ""176"", ""252"", ""1346"", ""7"", ""1"", ""2131""]; Cumulative=[""741"", ""1144"", ""1320"", ""1572"", ""2918"", ""2925"", ""2926"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXD856","SXD856",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ590","SXQ590","# sex partners five years older/year","Of the persons you had any kind of sex with in the past 12 months how many were five or more years older than you?","Both males and females 18 YEARS - 29 YEARS",NA,"Code.or.Value=[""0 to 10"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""927"", ""1"", ""2"", ""4127""]; Cumulative=[""927"", ""928"", ""930"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ600","SXQ600","# sex partners five years younger/year","Of the persons you had any kind of sex with in the past 12 months how many were five or more years younger than you?","Both males and females 18 YEARS - 29 YEARS",NA,"Code.or.Value=[""0 to 25"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""929"", ""0"", ""1"", ""4127""]; Cumulative=[""929"", ""929"", ""930"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
