"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"WHQ_F","WHD100G","WHD100G","Used liquid diet formula","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""16"", "".""]; Value.Description=[""Used a liquid diet formula such as slimfast or optifast"", ""Missing""]; Count=[""7"", ""6882""]; Cumulative=[""7"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100H","WHD100H","Joined program to not gain weight","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""17"", "".""]; Value.Description=[""Joined program to not gain weight"", ""Missing""]; Count=[""6"", ""6883""]; Cumulative=[""6"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100I","WHD100I","Took prescription diet pills","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""31"", "".""]; Value.Description=[""Took prescription diet pills"", ""Missing""]; Count=[""2"", ""6887""]; Cumulative=[""2"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100J","WHD100J","Took non-prescription diet pills","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""32"", "".""]; Value.Description=[""Took other pills, medicines, herbs, or supplements not needing a prescription"", ""Missing""]; Count=[""10"", ""6879""]; Cumulative=[""10"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100K","WHD100K","Took laxatives or vomited","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""33"", "".""]; Value.Description=[""Took laxatives or vomited"", ""Missing""]; Count=[""5"", ""6884""]; Cumulative=[""5"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100L","WHD100L","Other","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""40"", "".""]; Value.Description=[""Other"", ""Missing""]; Count=[""6"", ""6883""]; Cumulative=[""6"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100M","WHD100M","Drank a lot of water","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""34"", "".""]; Value.Description=[""Drank a lot of water"", ""Missing""]; Count=[""196"", ""6693""]; Cumulative=[""196"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100N","WHD100N","Followed a special diet","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""30"", "".""]; Value.Description=[""Followed a special diet"", ""Missing""]; Count=[""1"", ""6888""]; Cumulative=[""1"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100O","WHD100O","Ate fewer carbohydrates","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""41"", "".""]; Value.Description=[""Ate fewer carbohydrates"", ""Missing""]; Count=[""84"", ""6805""]; Cumulative=[""84"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100P","WHD100P","Started to smoke or began to smoke again","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""42"", "".""]; Value.Description=[""Started to smoke or began to smoke again"", ""Missing""]; Count=[""3"", ""6886""]; Cumulative=[""3"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
