"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DIQ_I","DIQ175Q","DIQ175Q","Doctor warning","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""26"", "".""]; Value.Description=[""Doctor warning"", ""Missing""]; Count=[""136"", ""9439""]; Cumulative=[""136"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175R","DIQ175R","Other specify","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""27"", "".""]; Value.Description=[""Other, specify"", ""Missing""]; Count=[""23"", ""9552""]; Cumulative=[""23"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175S","DIQ175S","Gestational diabetes","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""28"", "".""]; Value.Description=[""Gestational diabetes"", ""Missing""]; Count=[""31"", ""9544""]; Cumulative=[""31"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175T","DIQ175T","Frequent urination","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""29"", "".""]; Value.Description=[""Frequent urination"", ""Missing""]; Count=[""105"", ""9470""]; Cumulative=[""105"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175U","DIQ175U","Thirst","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""30"", "".""]; Value.Description=[""Thirst"", ""Missing""]; Count=[""79"", ""9496""]; Cumulative=[""79"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175V","DIQ175V","Craving for sweet/eating a lot of sugar","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""31"", "".""]; Value.Description=[""Craving for sweet/eating a lot of sugar"", ""Missing""]; Count=[""11"", ""9564""]; Cumulative=[""11"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175W","DIQ175W","Medication","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""32"", "".""]; Value.Description=[""Medication"", ""Missing""]; Count=[""4"", ""9571""]; Cumulative=[""4"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175X","DIQ175X","Polycystic ovarian syndrome","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""33"", "".""]; Value.Description=[""Polycystic ovarian syndrome"", ""Missing""]; Count=[""1"", ""9574""]; Cumulative=[""1"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ180","DIQ180","Had blood tested past three years","{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2836"", ""3167"", ""2"", ""181"", ""3389""]; Cumulative=[""2836"", ""6003"", ""6005"", ""6186"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ050","DIQ050","Taking insulin now","{Is SP/Are you} now taking insulin","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""256"", ""9316"", ""1"", ""2"", ""0""]; Cumulative=[""256"", ""9572"", ""9573"", ""9575"", ""9575""]; Skip.to.Item=["""", ""DIQ065"", ""DIQ065"", ""DIQ065"", """"]"
"DIQ_I","DID060","DID060","How long taking insulin","For how long {have you/has SP} been taking insulin?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 55"", ""666"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""Less than 1 month"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""249"", ""5"", ""0"", ""2"", ""9319""]; Cumulative=[""249"", ""254"", ""254"", ""256"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ060U","DIQ060U","Unit of measure (month/year)","UNIT OF MEASURE","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Months"", ""Years"", ""Missing""]; Count=[""30"", ""219"", ""9326""]; Cumulative=[""30"", ""249"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ065","DIQ065",NA,NA,"Both males and females 1 YEARS - 150 YEARS",NA,NA
"DIQ_I","DIQ070","DIQ070","Take diabetic pills to lower blood sugar","{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar? These are sometimes called oral agents or oral hypoglycemic agents.","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""643"", ""870"", ""1"", ""1"", ""8060""]; Cumulative=[""643"", ""1513"", ""1514"", ""1515"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ229","DIQ229",NA,NA,"Both males and females 1 YEARS - 150 YEARS",NA,NA
