"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_J","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1478.156428 to 691139.54688"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""7641"", ""1063"", ""0""]; Cumulative=[""7641"", ""8704"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_J","DR2TNUMF","DR2TNUMF","Number of foods/beverages reported","Total number of foods/beverages reported in the individual foods file","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 39"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6639"", ""2065""]; Cumulative=[""6639"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2STY","DR2STY","Salt used at table yesterday?","Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt lite salt or a salt substitute.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Don't know"", ""Missing""]; Count=[""1045"", ""5650"", ""19"", ""1990""]; Cumulative=[""1045"", ""6695"", ""6714"", ""8704""]; Skip.to.Item=["""", ""DR2TKCAL"", ""DR2TKCAL"", """"]"
"DR2TOT_J","DR2SKY","DR2SKY","Type of salt used yesterday","What type of salt was it? (Was it ordinary or sea salt lite salt or a salt substitute?)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""91"", ""99"", "".""]; Value.Description=[""Ordinary, sea, seasoned, or other flavored salt"", ""Lite salt"", ""Salt substitute"", ""Other"", ""Don't know"", ""Missing""]; Count=[""980"", ""24"", ""23"", ""0"", ""18"", ""7659""]; Cumulative=[""980"", ""1004"", ""1027"", ""1027"", ""1045"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_J","DR2TKCAL","DR2TKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11241"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TPROT","DR2TPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 345.53"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TCARB","DR2TCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1455.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TSUGR","DR2TSUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 903.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TFIBE","DR2TFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 104"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TTFAT","DR2TTFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 487.73"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TSFAT","DR2TSFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 160.673"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TMFAT","DR2TMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 174.377"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TPFAT","DR2TPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 129.181"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TCHOL","DR2TCHOL","Cholesterol (mg)","Cholesterol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2483"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TATOC","DR2TATOC","Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 77.36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TATOA","DR2TATOA","Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 70.38"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TRET","DR2TRET","Retinol (mcg)","Retinol (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14573"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVARA","DR2TVARA","Vitamin A RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 20875"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TACAR","DR2TACAR","Alpha-carotene (mcg)","Alpha-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 93941"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TBCAR","DR2TBCAR","Beta-carotene (mcg)","Beta-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 201990"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TCRYP","DR2TCRYP","Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7814"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TLYCO","DR2TLYCO","Lycopene (mcg)","Lycopene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 147094"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TLZ","DR2TLZ","Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 80214"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVB1","DR2TVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13.241"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVB2","DR2TVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 17.475"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TNIAC","DR2TNIAC","Niacin (mg)","Niacin (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 219.356"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVB6","DR2TVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 24.988"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TFOLA","DR2TFOLA","Total folate (mcg)","Total folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3016"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TFA","DR2TFA","Folic acid (mcg)","Folic acid (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2907"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TFF","DR2TFF","Food folate (mcg)","Food folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1829"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TFDFE","DR2TFDFE","Folate DFE (mcg)","Folate as dietary folate equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5049"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TCHL","DR2TCHL","Total choline (mg)","Total choline (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1664.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVB12","DR2TVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""."", ""0 to 156.27""]; Value.Description=[""Missing"", ""Range of Values""]; Count=[""2202"", ""6502""]; Cumulative=[""8704"", ""6502""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TB12A","DR2TB12A","Added vitamin B12 (mcg)","Added vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 51"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVC","DR2TVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1035.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVD","DR2TVD","Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 92.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TVK","DR2TVK","Vitamin K (mcg)","Vitamin K (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2930.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TCALC","DR2TCALC","Calcium (mg)","Calcium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""9 to 7510"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TPHOS","DR2TPHOS","Phosphorus (mg)","Phosphorus (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7168"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TMAGN","DR2TMAGN","Magnesium (mg)","Magnesium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""3 to 1445"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TIRON","DR2TIRON","Iron (mg)","Iron (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 80.81"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TZINC","DR2TZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 97.48"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TCOPP","DR2TCOPP","Copper (mg)","Copper (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.03 to 28.065"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TSODI","DR2TSODI","Sodium (mg)","Sodium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""7 to 16552"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TPOTA","DR2TPOTA","Potassium (mg)","Potassium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12851"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TSELE","DR2TSELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 589.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TCAFF","DR2TCAFF","Caffeine (mg)","Caffeine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5040"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TTHEO","DR2TTHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 990"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TALCO","DR2TALCO","Alcohol (gm)","Alcohol (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 443.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TMOIS","DR2TMOIS","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""67.59 to 12661.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TS040","DR2TS040","SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5.732"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TS060","DR2TS060","SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TS080","DR2TS080","SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14.244"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TS100","DR2TS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7.896"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_J","DR2TS120","DR2TS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 21.606"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6502"", ""2202""]; Cumulative=[""6502"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
