"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_I","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1974.178694 to 454277.71731"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""8506"", ""1038"", ""0""]; Cumulative=[""8506"", ""9544"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2TNUMF","DR2TNUMF","Number of foods/beverages reported","Total number of foods/beverages reported in the individual foods file","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 48"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7027"", ""2517""]; Cumulative=[""7027"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2STY","DR2STY","Salt used at table yesterday?","Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or seasoned salt lite salt or a salt substitute.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Don't know"", ""Missing""]; Count=[""1080"", ""5961"", ""30"", ""2473""]; Cumulative=[""1080"", ""7041"", ""7071"", ""9544""]; Skip.to.Item=["""", ""DR2TKCAL"", ""DR2TKCAL"", """"]"
"DR2TOT_I","DR2SKY","DR2SKY","Type of salt used yesterday","What type of salt was it? (Was it ordinary or seasoned salt lite salt or a salt substitute?)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""91"", ""99"", "".""]; Value.Description=[""Ordinary, sea, seasoned, or other flavored salt"", ""Lite salt"", ""Salt substitute"", ""Other"", ""Don't know"", ""Missing""]; Count=[""1008"", ""38"", ""23"", ""0"", ""11"", ""8464""]; Cumulative=[""1008"", ""1046"", ""1069"", ""1069"", ""1080"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2TKCAL","DR2TKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8516"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TPROT","DR2TPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 456.28"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TCARB","DR2TCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1188.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TSUGR","DR2TSUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 655.29"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TFIBE","DR2TFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 131.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TTFAT","DR2TTFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 463.09"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TSFAT","DR2TSFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 151.511"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TMFAT","DR2TMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 173.825"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TPFAT","DR2TPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 137.491"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TCHOL","DR2TCHOL","Cholesterol (mg)","Cholesterol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2287"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TATOC","DR2TATOC","Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 103.72"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TATOA","DR2TATOA","Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 103.32"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TRET","DR2TRET","Retinol (mcg)","Retinol (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 19313"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVARA","DR2TVARA","Vitamin A RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 19373"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TACAR","DR2TACAR","Alpha-carotene (mcg)","Alpha-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 48111"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TBCAR","DR2TBCAR","Beta-carotene (mcg)","Beta-carotene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 104259"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TCRYP","DR2TCRYP","Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7298"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TLYCO","DR2TLYCO","Lycopene (mcg)","Lycopene (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 104091"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TLZ","DR2TLZ","Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 142159"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVB1","DR2TVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13.87"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVB2","DR2TVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14.744"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TNIAC","DR2TNIAC","Niacin (mg)","Niacin (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 138.142"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVB6","DR2TVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 24.503"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TFOLA","DR2TFOLA","Total folate (mcg)","Total folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3348"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TFA","DR2TFA","Folic acid (mcg)","Folic acid (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3186"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TFF","DR2TFF","Food folate (mcg)","Food folate (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2554"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TFDFE","DR2TFDFE","Folate DFE (mcg)","Folate as dietary folate equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5579"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TCHL","DR2TCHL","Total choline (mg)","Total choline (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1857"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVB12","DR2TVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 206.13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TB12A","DR2TB12A","Added vitamin B12 (mcg)","Added vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 46.31"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVC","DR2TVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1157.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVD","DR2TVD","Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 97.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TVK","DR2TVK","Vitamin K (mcg)","Vitamin K (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6521.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TCALC","DR2TCALC","Calcium (mg)","Calcium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6051"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TPHOS","DR2TPHOS","Phosphorus (mg)","Phosphorus (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6126"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TMAGN","DR2TMAGN","Magnesium (mg)","Magnesium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1419"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TIRON","DR2TIRON","Iron (mg)","Iron (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 99.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TZINC","DR2TZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 90.76"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TCOPP","DR2TCOPP","Copper (mg)","Copper (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 37.188"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TSODI","DR2TSODI","Sodium (mg)","Sodium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14388"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TPOTA","DR2TPOTA","Potassium (mg)","Potassium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10506"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TSELE","DR2TSELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1458.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TCAFF","DR2TCAFF","Caffeine (mg)","Caffeine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1581"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TTHEO","DR2TTHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 879"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TALCO","DR2TALCO","Alcohol (gm)","Alcohol (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 297.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TMOIS","DR2TMOIS","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""57.3 to 12901.52"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TS040","DR2TS040","SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.704"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TS060","DR2TS060","SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3.313"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TS080","DR2TS080","SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12.462"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TS100","DR2TS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7.147"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TS120","DR2TS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 23.063"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
