"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CBQPFA_E","DBQ890","DBQ890","Are people born to be fat/thin","{Turn to hand card 3.} Would you say you strongly agree somewhat agree neither agree nor disagree somewhat disagree or strongly disagree with the following statement: Some people are born to be fat and some thin; there is not much you can do to change this?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Strongly agree"", ""Somewhat agree"", ""Neither agree nor disagree"", ""Somewhat disagree"", ""Strongly disagree"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""425"", ""1193"", ""352"", ""1165"", ""1613"", ""0"", ""60"", ""1214""]; Cumulative=[""425"", ""1618"", ""1970"", ""3135"", ""4748"", ""4748"", ""4808"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ655","CBQ655","No reason for me to change my diet","Would you say you strongly agree somewhat agree neither agree nor disagree somewhat disagree or strongly disagree with the following statement: There is no reason for me to make changes to the things I eat?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", ""4"", ""5"", ""7"", ""9"", ""."", ""1"", ""2""]; Value.Description=[""Neither agree nor disagree"", ""Somewhat disagree"", ""Strongly disagree"", ""Refused"", ""Don't know"", ""Missing"", ""Strongly agree"", ""Somewhat agree""]; Count=[""238"", ""1295"", ""1826"", ""0"", ""72"", ""1216"", ""622"", ""753""]; Cumulative=[""1613"", ""2908"", ""4734"", ""4734"", ""4806"", ""6022"", ""622"", ""1375""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ660","CBQ660","Importance of price","{For the next set of questions please use hand card 4.} When you buy food from a grocery store or supermarket how important is price? Would you say very important somewhat important not too important or not at all important?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Very important"", ""Somewhat important"", ""Not too important"", ""Not at all important"", ""Never buy from a grocery store or supermarket"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2266"", ""1964"", ""407"", ""142"", ""19"", ""0"", ""9"", ""1215""]; Cumulative=[""2266"", ""4230"", ""4637"", ""4779"", ""4798"", ""4798"", ""4807"", ""6022""]; Skip.to.Item=["""", """", """", """", ""DBQ750"", """", """", """"]"
"CBQPFA_E","CBQ665","CBQ665","Importance of nutrition","How about nutrition? When you buy food from a grocery store or supermarket how important is nutrition? [Would you say very important somewhat important not too important or not at all important?]","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Very important"", ""Somewhat important"", ""Not too important"", ""Not at all important"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3154"", ""1386"", ""183"", ""50"", ""0"", ""14"", ""1235""]; Cumulative=[""3154"", ""4540"", ""4723"", ""4773"", ""4773"", ""4787"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ670","CBQ670","Importance of taste","How about taste? [When you buy food from a grocery store or supermarket how important is taste?] [Would you say very important somewhat important not too important or not at all important?]","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Very important"", ""Somewhat important"", ""Not too important"", ""Not at all important"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3735"", ""913"", ""111"", ""20"", ""0"", ""8"", ""1235""]; Cumulative=[""3735"", ""4648"", ""4759"", ""4779"", ""4779"", ""4787"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ675","CBQ675","Importance of food preparation easiness","How about how easy the food is to prepare? [When you buy food from a grocery store or supermarket how important is how easy the food is to prepare?] [Would you say very important somewhat important not too important or not at all important?]","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Very important"", ""Somewhat important"", ""Not too important"", ""Not at all important"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1827"", ""1958"", ""795"", ""185"", ""0"", ""22"", ""1235""]; Cumulative=[""1827"", ""3785"", ""4580"", ""4765"", ""4765"", ""4787"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","CBQ680","CBQ680","Importance of how well the food keeps","How about how well the food keeps after its bought? [When you buy food from a grocery store or supermarket how important is how well the food keeps after its bought [in other words how soon it spoils]?] [Would you say very important somewhat important not too important or not at all important?]","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Very important"", ""Somewhat important"", ""Not too important"", ""Not at all important"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2967"", ""1329"", ""393"", ""80"", ""0"", ""18"", ""1235""]; Cumulative=[""2967"", ""4296"", ""4689"", ""4769"", ""4769"", ""4787"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","DBQ750","DBQ750","Use nutrition facts panel on food label","{For the next few questions youll use hand card 6 to respond but first please look at hand card 5 which shows an example of the food label. The Nutrition Facts panel of a food label is everything on this page except the list of ingredients in pink. How often do you use the Nutrition Facts panel when deciding to buy a food product?} Would you say always most of the time sometimes rarely or never?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""9"", "".""]; Value.Description=[""Always"", ""Most of the time"", ""Sometimes"", ""Rarely"", ""Never"", ""Never seen"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""638"", ""1125"", ""1690"", ""741"", ""565"", ""34"", ""0"", ""13"", ""1216""]; Cumulative=[""638"", ""1763"", ""3453"", ""4194"", ""4759"", ""4793"", ""4793"", ""4806"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","DBQ760","DBQ760","Use ingredients list on food label","How about the list of ingredients? [HAND CARD #5] How often do you use the list of ingredients on a food label {such as the part colored in pink on hand card 5} when deciding to buy a food product? Would you say always most of the time sometimes rarely or never?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""9"", "".""]; Value.Description=[""Always"", ""Most of the time"", ""Sometimes"", ""Rarely"", ""Never"", ""Never seen"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""598"", ""911"", ""1578"", ""1004"", ""667"", ""29"", ""0"", ""19"", ""1216""]; Cumulative=[""598"", ""1509"", ""3087"", ""4091"", ""4758"", ""4787"", ""4787"", ""4806"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CBQPFA_E","DBQ770","DBQ770","Use serving size info on food label","How about the information on the serving size? [HAND CARD #5] [How often do you use information on the serving size on a food label {such as the part colored in green on hand card 5} when deciding to buy a food product?] Would you say always most of the time sometimes rarely or never?]","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""9"", "".""]; Value.Description=[""Always"", ""Most of the time"", ""Sometimes"", ""Rarely"", ""Never"", ""Never seen"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""622"", ""873"", ""1480"", ""988"", ""776"", ""35"", ""0"", ""32"", ""1216""]; Cumulative=[""622"", ""1495"", ""2975"", ""3963"", ""4739"", ""4774"", ""4774"", ""4806"", ""6022""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
