"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXX_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_I","DXXRAFAT","DXXRAFAT","Right Arm Fat (g)","Right Arm Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""137.5 to 7409.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4961"", ""819""]; Cumulative=[""4961"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDRALE","DXDRALE","Right Arm Lean excl BMC (g)","Right Arm Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""597.5 to 8611.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4961"", ""819""]; Cumulative=[""4961"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRALI","DXXRALI","Right Arm Lean incl BMC (g)","Right Arm Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""633 to 8907.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4973"", ""807""]; Cumulative=[""4973"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDRATOT","DXDRATOT","Right Arm Total (g)","Right Arm Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""918.9 to 13308.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4926"", ""854""]; Cumulative=[""4926"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDRAPF","DXDRAPF","Right Arm Percent Fat","Right Arm Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.2 to 67.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4961"", ""819""]; Cumulative=[""4961"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXARLBV","DXARLBV","Right Leg Bone Invalidity Code","Right Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4861"", ""68"", ""83"", ""82"", ""17"", ""1"", ""668""]; Cumulative=[""4861"", ""4929"", ""5012"", ""5094"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXRLA","DXXRLA","Right Leg Area (cm^2)","Right Leg Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""144.76 to 529.05"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4861"", ""919""]; Cumulative=[""4861"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRLBMC","DXXRLBMC","Right Leg BMC (g)","Right Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""85.96 to 882.07"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4861"", ""919""]; Cumulative=[""4861"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRLBMD","DXXRLBMD","Right Leg BMD(g/cm^2)","Right Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.474 to 1.811"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4861"", ""919""]; Cumulative=[""4861"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXARLTV","DXARLTV","Right Leg Tissue Invalidity Code","Right Leg Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4853"", ""71"", ""88"", ""82"", ""17"", ""1"", ""668""]; Cumulative=[""4853"", ""4924"", ""5012"", ""5094"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXRLFAT","DXXRLFAT","Right Leg Fat (g)","Right Leg Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""515 to 19738.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4853"", ""927""]; Cumulative=[""4853"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDRLLE","DXDRLLE","Right Leg Lean excl BMC (g)","Right Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1465.6 to 18977.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4853"", ""927""]; Cumulative=[""4853"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRLLI","DXXRLLI","Right Leg Lean incl BMC (g)","Right Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1551.5 to 19730.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4861"", ""919""]; Cumulative=[""4861"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
