"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXT12_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT12_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT12_H","DXXBICRT","DXXBICRT","Amount of biconcave","Amount of biconcave","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.5 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXCRURT","DXXCRURT","Amount of UCSF crush","Amount of UCSF crush","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXWDGDE","DXXWDGDE","Percentage of wedge deformity","Percentage of wedge deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.115 to 0.567"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXBICDE","DXXBICDE","Percentage of biconcave deformity","Percentage of biconcave deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.016 to 0.477"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXCRUDE","DXXCRUDE","Percentage of UCSF crush deformity","Percentage of UCSF crush deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.259 to 0.273"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXSPX","DXXSPX","x-coordinate of superior posterior point","x-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXSPY","DXXSPY","y-coordinate of superior posterior point","y-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXSMX","DXXSMX","x-coordinate of superior mid point","x-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXSMY","DXXSMY","y-coordinate of superior mid point","y-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""58.6 to 333"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXSAX","DXXSAX","x-coordinate of superior anterior point","x-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""325.8 to 970.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXSAY","DXXSAY","y-coordinate of superior anterior point","y-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""98.4 to 378.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXIAX","DXXIAX","x-coordinate of inferior anterior point","x-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""323 to 964.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXIAY","DXXIAY","y-coordinate of inferior anterior point","y-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""137.5 to 422.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXIMX","DXXIMX","x-coordinate of inferior mid point","x-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""314.8 to 951.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXIMY","DXXIMY","y-coordinate of inferior mid point","y-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""."", ""148.1 to 439.2""]; Value.Description=[""Missing"", ""Range of Values""]; Count=[""413"", ""3295""]; Cumulative=[""3708"", ""3295""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXIPX","DXXIPX","x-coordinate of inferior posterior point","x-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""374.6 to 1012.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXIPY","DXXIPY","y-coordinate of inferior posterior point","y-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""108.6 to 396.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT0X","DXXPT0X","x-coordinate of first outline point","x-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""382.3 to 1024.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT0Y","DXXPT0Y","y-coordinate of first outline point","y-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""63.6 to 306.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT1X","DXXPT1X","x-coordinates of outline points 2","x-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""395 to 1040.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT1Y","DXXPT1Y","y-coordinates of outline points 2","y-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""137.7 to 393.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT2X","DXXPT2X","x-coordinates of outline points 3","x-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""314.8 to 950.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT2Y","DXXPT2Y","y-coordinates of outline points 3","y-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""142.3 to 399.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT3X","DXXPT3X","x-coordinates of outline points 4","x-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""317.7 to 952"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT3Y","DXXPT3Y","y-coordinates of outline points 4","y-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""155.3 to 402.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT4X","DXXPT4X","x-coordinates of outline points 5","x-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""370.9 to 1007.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT4Y","DXXPT4Y","y-coordinates of outline points 5","y-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""150.4 to 399"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT5X","DXXPT5X","x-coordinates of outline points 6","x-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""373 to 1010.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT5Y","DXXPT5Y","y-coordinates of outline points 6","y-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""60 to 304.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT6X","DXXPT6X","x-coordinates of outline points 7","x-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""396.7 to 1043"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT6Y","DXXPT6Y","y-coordinates of outline points 7","y-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""61.5 to 306.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT7X","DXXPT7X","x-coordinates of outline points 8","x-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""394.9 to 1040.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT7Y","DXXPT7Y","y-coordinates of outline points 8","y-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""55.3 to 302.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT8X","DXXPT8X","x-coordinates of outline points 9","x-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""323.5 to 968"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT8Y","DXXPT8Y","y-coordinates of outline points 9","y-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""54.1 to 300"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT9X","DXXPT9X","x-coordinates of outline points 10","x-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""326.4 to 970.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT9Y","DXXPT9Y","y-coordinates of outline points 10","y-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""139.9 to 397"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT10X","DXXPT10X","x-coordinates of outline points 11","x-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""315.9 to 951.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT10Y","DXXPT10Y","y-coordinates of outline points 11","y-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""153.5 to 401.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT11X","DXXPT11X","x-coordinates of outline points 12","x-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""372 to 1009.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT11Y","DXXPT11Y","y-coordinates of outline points 12","y-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""63.6 to 306.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT12X","DXXPT12X","x-coordinates of outline points 13","x-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""395 to 1040.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT12Y","DXXPT12Y","y-coordinates of outline points 13","y-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""58.6 to 303.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT13X","DXXPT13X","x-coordinates of outline points 14","x-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""325.8 to 970.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT13Y","DXXPT13Y","y-coordinates of outline points 14","y-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""142.6 to 398.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT14X","DXXPT14X","x-coordinates of outline points 15","x-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""322 to 956.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT14Y","DXXPT14Y","y-coordinates of outline points 15","y-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""142.4 to 396.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT15X","DXXPT15X","x-coordinates of outline points 16","x-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""326.1 to 961.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT15Y","DXXPT15Y","y-coordinates of outline points 16","y-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""142.7 to 395.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT16X","DXXPT16X","x-coordinates of outline points 17","x-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""330.4 to 966.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT16Y","DXXPT16Y","y-coordinates of outline points 17","y-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""143.7 to 395.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT17X","DXXPT17X","x-coordinates of outline points 18","x-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""335 to 971.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT17Y","DXXPT17Y","y-coordinates of outline points 18","y-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""145 to 395"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT18X","DXXPT18X","x-coordinates of outline points 19","x-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""339.7 to 976.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT18Y","DXXPT18Y","y-coordinates of outline points 19","y-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""145.3 to 395.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT19X","DXXPT19X","x-coordinates of outline points 20","x-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""344.1 to 981.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT19Y","DXXPT19Y","y-coordinates of outline points 20","y-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""145.9 to 395.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT20X","DXXPT20X","x-coordinates of outline points 21","x-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""348.4 to 986.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT20Y","DXXPT20Y","y-coordinates of outline points 21","y-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""146.8 to 396.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPT21X","DXXPT21X","x-coordinates of outline points 22","x-coordinates of outline points 22","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""353.2 to 991.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
