"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXSPN_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXSPN_H","DXASPNST","DXASPNST","Spine scan status","Spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Spine scan completed, all vertebrae are valid"", ""Spine scan completed, but one or more vertebrae are invalid"", ""Spine not scanned, pregnancy"", ""Spine not scanned, weight > 450 lbs"", ""Spine not scanned, other reason"", ""Missing""]; Count=[""2135"", ""1209"", ""3"", ""1"", ""360"", ""0""]; Cumulative=[""2135"", ""3344"", ""3347"", ""3348"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_H","DXXL1A","DXXL1A","L1 area","L1 area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.26 to 21.91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3063"", ""645""]; Cumulative=[""3063"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL2BMD","DXXL2BMD","L2 BMD","L2 BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.456 to 1.664"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2836"", ""872""]; Cumulative=[""2836"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL2BMC","DXXL2BMC","L2 BMC","L2 BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.39 to 32.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2836"", ""872""]; Cumulative=[""2836"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL2A","DXXL2A","L2 area","L2 area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.31 to 22.94"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2836"", ""872""]; Cumulative=[""2836"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL3BMD","DXXL3BMD","L3 BMD","L3 BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.448 to 1.765"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2735"", ""973""]; Cumulative=[""2735"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL3BMC","DXXL3BMC","L3 BMC","L3 BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.93 to 37.34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2735"", ""973""]; Cumulative=[""2735"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL3A","DXXL3A","L3 area","L3 area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""9.56 to 23.58"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2735"", ""973""]; Cumulative=[""2735"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL4BMD","DXXL4BMD","L4 BMD","L4 BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.465 to 1.934"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2637"", ""1071""]; Cumulative=[""2637"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL4BMC","DXXL4BMC","L4 BMC","L4 BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""7.08 to 38.24"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2637"", ""1071""]; Cumulative=[""2637"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL4A","DXXL4A","L4 area","L4 area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""10.04 to 27.27"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2637"", ""1071""]; Cumulative=[""2637"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXASPNK","DXASPNK","Calculated K for spine","Calculated K for spine ","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.1134 to 1.1739"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3344"", ""364""]; Cumulative=[""3344"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXASPND0","DXASPND0","Calculated DO for spine","Calculated DO for spine ","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""34.1941 to 50.3385"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3344"", ""364""]; Cumulative=[""3344"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
