"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXPER_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 30 YEARS - 150 YEARS",NA,NA
"OHXPER_F","OHX03PCA","OHX03PCA","LOA: Max R(1M) ML FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2713"", ""1383"", ""941""]; Cumulative=[""2713"", ""4096"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX03LAD","OHX03LAD","LOA: Max R(1M) DF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2710"", ""1386"", ""941""]; Cumulative=[""2710"", ""4096"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX03LAM","OHX03LAM","LOA: Max R(1M) MdF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2709"", ""1387"", ""941""]; Cumulative=[""2709"", ""4096"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX03LAS","OHX03LAS","LOA: Max R(1M) MF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2710"", ""1386"", ""941""]; Cumulative=[""2710"", ""4096"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX03LAP","OHX03LAP","LOA: Max R(1M) DL calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 16"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2711"", ""1385"", ""941""]; Cumulative=[""2711"", ""4096"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX03LAL","OHX03LAL","LOA: Max R(1M) MdL calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mid- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2715"", ""1381"", ""941""]; Cumulative=[""2715"", ""4096"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX03LAA","OHX03LAA","LOA: Max R(1M) ML calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2713"", ""1383"", ""941""]; Cumulative=[""2713"", ""4096"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX04CJD","OHX04CJD","LOA: Max R(2B) DF FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2891"", ""1206"", ""940""]; Cumulative=[""2891"", ""4097"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX04CJM","OHX04CJM","LOA: Max R(2B) MdF FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 1"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2889"", ""1208"", ""940""]; Cumulative=[""2889"", ""4097"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_F","OHX04CJS","OHX04CJS","LOA: Max R(2B) MF FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2893"", ""1204"", ""940""]; Cumulative=[""2893"", ""4097"", ""5037""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
