"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"OHXPER_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 30 YEARS - 150 YEARS",NA,NA
"OHXPER_G","OHDEXSTS","OHDEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""3669"", ""381"", ""315"", ""0""]; Cumulative=[""3669"", ""4050"", ""4365"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02PCP","OHX02PCP","LOA: Max R(2M) DL FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2412"", ""1322"", ""631""]; Cumulative=[""2412"", ""3734"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02PCL","OHX02PCL","LOA: Max R(2M) MdL FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2415"", ""1319"", ""631""]; Cumulative=[""2415"", ""3734"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02PCA","OHX02PCA","LOA: Max R(2M) ML FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""."", ""0 to 8"", ""99""]; Value.Description=[""Missing"", ""Range of Values"", ""Cannot be assessed""]; Count=[""631"", ""2416"", ""1318""]; Cumulative=[""4365"", ""2416"", ""3734""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02LAD","OHX02LAD","LOA: Max R(2M) DF calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2405"", ""1330"", ""630""]; Cumulative=[""2405"", ""3735"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02LAM","OHX02LAM","LOA: Max R(2M) MdF calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) mid-facial - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2411"", ""1324"", ""630""]; Cumulative=[""2411"", ""3735"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02LAS","OHX02LAS","LOA: Max R(2M) MF calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2405"", ""1330"", ""630""]; Cumulative=[""2405"", ""3735"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02LAP","OHX02LAP","LOA: Max R(2M) DL calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2412"", ""1322"", ""631""]; Cumulative=[""2412"", ""3734"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02LAL","OHX02LAL","LOA: Max R(2M) MdL calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2415"", ""1319"", ""631""]; Cumulative=[""2415"", ""3734"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX02LAA","OHX02LAA","LOA: Max R(2M) ML calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2416"", ""1318"", ""631""]; Cumulative=[""2416"", ""3734"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03CJD","OHX03CJD","LOA: Max R(1M) DF FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-9 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2387"", ""1344"", ""634""]; Cumulative=[""2387"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03CJM","OHX03CJM","LOA: Max R(1M) MdF FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-10 to 1"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2390"", ""1341"", ""634""]; Cumulative=[""2390"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03CJS","OHX03CJS","LOA: Max R(1M) MF FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2389"", ""1342"", ""634""]; Cumulative=[""2389"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03CJP","OHX03CJP","LOA: Max R(1M) DL FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-10 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2395"", ""1335"", ""635""]; Cumulative=[""2395"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03CJL","OHX03CJL","LOA: Max R(1M) MdL FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mid - lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-12 to 1"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2403"", ""1327"", ""635""]; Cumulative=[""2403"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03CJA","OHX03CJA","LOA: Max R(1M) ML FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2400"", ""1330"", ""635""]; Cumulative=[""2400"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03PCD","OHX03PCD","LOA: Max R(1M) DF FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2387"", ""1344"", ""634""]; Cumulative=[""2387"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03PCM","OHX03PCM","LOA: Max R(1M) MdF FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2390"", ""1341"", ""634""]; Cumulative=[""2390"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03PCS","OHX03PCS","LOA: Max R(1M) MF FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2389"", ""1342"", ""634""]; Cumulative=[""2389"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03PCP","OHX03PCP","LOA: Max R(1M) DL FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2395"", ""1335"", ""635""]; Cumulative=[""2395"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03PCL","OHX03PCL","LOA: Max R(1M) MdL FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2403"", ""1327"", ""635""]; Cumulative=[""2403"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03PCA","OHX03PCA","LOA: Max R(1M) ML FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2400"", ""1330"", ""635""]; Cumulative=[""2400"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03LAD","OHX03LAD","LOA: Max R(1M) DF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2387"", ""1344"", ""634""]; Cumulative=[""2387"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03LAM","OHX03LAM","LOA: Max R(1M) MdF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2390"", ""1341"", ""634""]; Cumulative=[""2390"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03LAS","OHX03LAS","LOA: Max R(1M) MF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2389"", ""1342"", ""634""]; Cumulative=[""2389"", ""3731"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03LAP","OHX03LAP","LOA: Max R(1M) DL calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2395"", ""1335"", ""635""]; Cumulative=[""2395"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03LAL","OHX03LAL","LOA: Max R(1M) MdL calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mid- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2403"", ""1327"", ""635""]; Cumulative=[""2403"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX03LAA","OHX03LAA","LOA: Max R(1M) ML calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2400"", ""1330"", ""635""]; Cumulative=[""2400"", ""3730"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04CJD","OHX04CJD","LOA: Max R(2B) DF FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2545"", ""1192"", ""628""]; Cumulative=[""2545"", ""3737"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04CJM","OHX04CJM","LOA: Max R(2B) MdF FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 1"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2541"", ""1196"", ""628""]; Cumulative=[""2541"", ""3737"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04CJS","OHX04CJS","LOA: Max R(2B) MF FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2544"", ""1193"", ""628""]; Cumulative=[""2544"", ""3737"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04CJP","OHX04CJP","LOA: Max R(2B) DL FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2548"", ""1188"", ""629""]; Cumulative=[""2548"", ""3736"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04CJL","OHX04CJL","LOA: Max R(2B) MdL FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid - lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2551"", ""1185"", ""629""]; Cumulative=[""2551"", ""3736"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04CJA","OHX04CJA","LOA: Max R(2B) ML FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2552"", ""1184"", ""629""]; Cumulative=[""2552"", ""3736"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04PCD","OHX04PCD","LOA: Max R(2B) DF FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2545"", ""1192"", ""628""]; Cumulative=[""2545"", ""3737"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04PCM","OHX04PCM","LOA: Max R(2B) MdF FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2541"", ""1196"", ""628""]; Cumulative=[""2541"", ""3737"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04PCS","OHX04PCS","LOA: Max R(2B) MF FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2544"", ""1193"", ""628""]; Cumulative=[""2544"", ""3737"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04PCP","OHX04PCP","LOA: Max R(2B) DL FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2548"", ""1188"", ""629""]; Cumulative=[""2548"", ""3736"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_G","OHX04PCL","OHX04PCL","LOA: Max R(2B) MdL FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2551"", ""1185"", ""629""]; Cumulative=[""2551"", ""3736"", ""4365""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
