"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_J","DXALLBV","DXALLBV","Left Leg Bone Invalidity Code","Left Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4078"", ""45"", ""50"", ""147"", ""14"", ""2"", ""778""]; Cumulative=[""4078"", ""4123"", ""4173"", ""4320"", ""4334"", ""4336"", ""5114""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_J","DXXLLA","DXXLLA","Left Leg Area (cm^2)","Left Leg Area(cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""68.42 to 538.72"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4019"", ""1095""]; Cumulative=[""4019"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXLLBMC","DXXLLBMC","Left Leg BMC (g)","Left Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""57.25 to 986.06"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4019"", ""1095""]; Cumulative=[""4019"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXLLBMD","DXXLLBMD","Left Leg BMD (g/cm^2)","Left Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.557 to 1.993"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4019"", ""1095""]; Cumulative=[""4019"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXALLTV","DXALLTV","Left Leg Tissue Invalidity Code","Left Leg Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4062"", ""44"", ""64"", ""150"", ""14"", ""2"", ""778""]; Cumulative=[""4062"", ""4106"", ""4170"", ""4320"", ""4334"", ""4336"", ""5114""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_J","DXXLLFAT","DXXLLFAT","Left Leg Fat (g)","Left Leg Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""604.4 to 20292.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4004"", ""1110""]; Cumulative=[""4004"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDLLLE","DXDLLLE","Left Leg Lean excl BMC (g)","Left Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2036.7 to 23667.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4004"", ""1110""]; Cumulative=[""4004"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXLLLI","DXXLLLI","Left Leg Lean incl BMC (g)","Left Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2165.6 to 24345.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4019"", ""1095""]; Cumulative=[""4019"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDLLTOT","DXDLLTOT","Left Leg Total (g)","Left Leg Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""3261.8 to 40056.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3981"", ""1133""]; Cumulative=[""3981"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDLLPF","DXDLLPF","Left Leg Percent Fat","Left Leg Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.7 to 61.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4004"", ""1110""]; Cumulative=[""4004"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXARABV","DXARABV","Right Arm Bone Invalidity Code","Right Arm Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4094"", ""39"", ""77"", ""108"", ""16"", ""2"", ""778""]; Cumulative=[""4094"", ""4133"", ""4210"", ""4318"", ""4334"", ""4336"", ""5114""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_J","DXXRAA","DXXRAA","Right Arm Area (cm^2)","Right Arm Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""79.95 to 392.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4031"", ""1083""]; Cumulative=[""4031"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXRABMC","DXXRABMC","Right Arm BMC (g)","Right Arm Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""34.16 to 455.69"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4031"", ""1083""]; Cumulative=[""4031"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXRABMD","DXXRABMD","Right Arm BMD (g/cm^2)","Right Arm Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.386 to 1.494"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4031"", ""1083""]; Cumulative=[""4031"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
