"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_H","DXALLBV","DXALLBV","Left Leg Bone Invalidity Code","Left Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""0"", ""1"", ""1"", ""4"", ""4"", ""5"", ""5"", ""6"", ""6"", ""7"", ""7"", ""."", "".""]; Value.Description=[""Valid data"", ""Valid data"", ""Removable or non-removable objects"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Body parts out of scan region"", ""Positioning problem"", ""Positioning problem"", ""Other"", ""Other"", ""Missing"", ""Missing""]; Count=[""5299"", ""5299"", ""80"", ""80"", ""15"", ""15"", ""43"", ""43"", ""9"", ""9"", ""0"", ""0"", ""587"", ""587""]; Cumulative=[""5299"", ""5299"", ""5379"", ""5379"", ""5394"", ""5394"", ""5437"", ""5437"", ""5446"", ""5446"", ""5446"", ""5446"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLLA","DXXLLA","Left Leg Area (cm^2)","Left Leg Area(cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""157.46 to 543.85"", ""157.46 to 543.85"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5299"", ""5299"", ""734"", ""734""]; Cumulative=[""5299"", ""5299"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLLBMC","DXXLLBMC","Left Leg BMC (g)","Left Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""88.1 to 865.04"", ""88.1 to 865.04"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5299"", ""5299"", ""734"", ""734""]; Cumulative=[""5299"", ""5299"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLLBMD","DXXLLBMD","Left Leg BMD (g/cm^2)","Left Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.47 to 1.812"", ""0.47 to 1.812"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5299"", ""5299"", ""734"", ""734""]; Cumulative=[""5299"", ""5299"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXALLTV","DXALLTV","Left Leg Tissue Invalidity Code","Left Leg Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""0"", ""1"", ""1"", ""4"", ""4"", ""5"", ""5"", ""6"", ""6"", ""7"", ""7"", ""."", "".""]; Value.Description=[""Valid data"", ""Valid data"", ""Removable or non-removable objects"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Body parts out of scan region"", ""Positioning problem"", ""Positioning problem"", ""Other"", ""Other"", ""Missing"", ""Missing""]; Count=[""5290"", ""5290"", ""80"", ""80"", ""15"", ""15"", ""52"", ""52"", ""9"", ""9"", ""0"", ""0"", ""587"", ""587""]; Cumulative=[""5290"", ""5290"", ""5370"", ""5370"", ""5385"", ""5385"", ""5437"", ""5437"", ""5446"", ""5446"", ""5446"", ""5446"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLLFAT","DXXLLFAT","Left Leg Fat (g)","Left Leg Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""446 to 18238.2"", ""446 to 18238.2"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5290"", ""5290"", ""743"", ""743""]; Cumulative=[""5290"", ""5290"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDLLLE","DXDLLLE","Left Leg Lean excl BMC (g)","Left Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1618.4 to 18375.8"", ""1618.4 to 18375.8"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5290"", ""5290"", ""743"", ""743""]; Cumulative=[""5290"", ""5290"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLLLI","DXXLLLI","Left Leg Lean incl BMC (g)","Left Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1713.2 to 19065"", ""1713.2 to 19065"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5299"", ""5299"", ""734"", ""734""]; Cumulative=[""5299"", ""5299"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDLLTOT","DXDLLTOT","Left Leg Total (g)","Left Leg Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2613.8 to 34055"", ""2613.8 to 34055"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5289"", ""5289"", ""744"", ""744""]; Cumulative=[""5289"", ""5289"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDLLPF","DXDLLPF","Left Leg Percent Fat","Left Leg Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.1 to 62.7"", ""11.1 to 62.7"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5290"", ""5290"", ""743"", ""743""]; Cumulative=[""5290"", ""5290"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXARABV","DXARABV","Right Arm Bone Invalidity Code","Right Arm Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""0"", ""1"", ""1"", ""4"", ""4"", ""5"", ""5"", ""6"", ""6"", ""7"", ""7"", ""."", "".""]; Value.Description=[""Valid data"", ""Valid data"", ""Removable or non-removable objects"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Body parts out of scan region"", ""Positioning problem"", ""Positioning problem"", ""Other"", ""Other"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""42"", ""42"", ""23"", ""23"", ""25"", ""25"", ""9"", ""9"", ""0"", ""0"", ""587"", ""587""]; Cumulative=[""5347"", ""5347"", ""5389"", ""5389"", ""5412"", ""5412"", ""5437"", ""5437"", ""5446"", ""5446"", ""5446"", ""5446"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXRAA","DXXRAA","Right Arm Area (cm^2)","Right Arm Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""71.97 to 382.31"", ""71.97 to 382.31"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXRABMC","DXXRABMC","Right Arm BMC (g)","Right Arm Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""28.67 to 394.21"", ""28.67 to 394.21"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXRABMD","DXXRABMD","Right Arm BMD (g/cm^2)","Right Arm Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.302 to 1.258"", ""0.302 to 1.258"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXARATV","DXARATV","Right Arm Tissue Invalidity Code","Right Arm Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""7"", ""."", ""."", ""0"", ""0"", ""1"", ""1"", ""4"", ""4"", ""5"", ""5"", ""6"", ""6"", ""7""]; Value.Description=[""Other"", ""Missing"", ""Missing"", ""Valid data"", ""Valid data"", ""Removable or non-removable objects"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Body parts out of scan region"", ""Positioning problem"", ""Positioning problem"", ""Other""]; Count=[""0"", ""587"", ""587"", ""5348"", ""5348"", ""42"", ""42"", ""22"", ""22"", ""25"", ""25"", ""9"", ""9"", ""0""]; Cumulative=[""5446"", ""6033"", ""6033"", ""5348"", ""5348"", ""5390"", ""5390"", ""5412"", ""5412"", ""5437"", ""5437"", ""5446"", ""5446"", ""5446""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXRAFAT","DXXRAFAT","Right Arm Fat (g)","Right Arm Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""163.3 to 7248"", ""163.3 to 7248"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5348"", ""5348"", ""685"", ""685""]; Cumulative=[""5348"", ""5348"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDRALE","DXDRALE","Right Arm Lean excl BMC (g)","Right Arm Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""614.7 to 7790.2"", ""614.7 to 7790.2"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5348"", ""5348"", ""685"", ""685""]; Cumulative=[""5348"", ""5348"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXRALI","DXXRALI","Right Arm Lean incl BMC (g)","Right Arm Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""657.5 to 8139.2"", ""657.5 to 8139.2"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDRATOT","DXDRATOT","Right Arm Total (g)","Right Arm Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""914.4 to 12134.5"", ""914.4 to 12134.5"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDRAPF","DXDRAPF","Right Arm Percent Fat","Right Arm Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.1 to 65.7"", ""10.1 to 65.7"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5348"", ""5348"", ""685"", ""685""]; Cumulative=[""5348"", ""5348"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXARLBV","DXARLBV","Right Leg Bone Invalidity Code","Right Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""0"", ""1"", ""1"", ""4"", ""4"", ""5"", ""5"", ""6"", ""6"", ""7"", ""7"", ""."", "".""]; Value.Description=[""Valid data"", ""Valid data"", ""Removable or non-removable objects"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Body parts out of scan region"", ""Positioning problem"", ""Positioning problem"", ""Other"", ""Other"", ""Missing"", ""Missing""]; Count=[""5295"", ""5295"", ""74"", ""74"", ""25"", ""25"", ""43"", ""43"", ""9"", ""9"", ""0"", ""0"", ""587"", ""587""]; Cumulative=[""5295"", ""5295"", ""5369"", ""5369"", ""5394"", ""5394"", ""5437"", ""5437"", ""5446"", ""5446"", ""5446"", ""5446"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
