"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"LEXAB_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"LEXAB_B","LEDSCCT2","LEDSCCT2","ABPI Section Comment","ABPI section comment","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""14"", ""22"", ""43"", ""56"", ""58"", ""72"", ""84"", ""101"", ""103"", ""104"", ""999"", "".""]; Value.Description=[""None"", ""Safety exclusion"", ""SP refusal"", ""No time"", ""Physical limitation"", ""Communication problem"", ""Equipment failure"", ""SP ill/emergency"", ""Interrupted"", ""Pain or discomfort"", ""Weight limitation on equipment"", ""Came late/left early"", ""Unable to obtain all bps"", ""Error (technician/software/supply)"", ""SP with child"", ""Bandage, stocking, or other obstruction"", ""As per doctor's request"", ""Swollen legs/ankle edema"", ""Other, specify"", ""Missing""]; Count=[""2334"", ""1"", ""76"", ""17"", ""95"", ""2"", ""4"", ""16"", ""1"", ""7"", ""3"", ""143"", ""461"", ""2"", ""15"", ""1"", ""1"", ""1"", ""4"", ""0""]; Cumulative=[""2334"", ""2335"", ""2411"", ""2428"", ""2523"", ""2525"", ""2529"", ""2545"", ""2546"", ""2553"", ""2556"", ""2699"", ""3160"", ""3162"", ""3177"", ""3178"", ""3179"", ""3180"", ""3184"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEXLPTS2","LEXLPTS2","Left Posterior Tibial SBP 2 (mm Hg)","Left posterior tibial systolic blood pressure 2 (in millimeters of mercury)","Both males and females 40 YEARS - 59 YEARS",NA,"Code.or.Value=[""52 to 236"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1281"", ""1903""]; Cumulative=[""1281"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXLPTSM","LEXLPTSM","Left Mean Posterior Tibial SBP (mm Hg)","Left mean posterior tibial systolic blood pressure (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""52.5 to 239"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2612"", ""572""]; Cumulative=[""2612"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXLABPI","LEXLABPI","Left ABPI","Left ABPI","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.29 to 1.66"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2604"", ""580""]; Cumulative=[""2604"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXRPTS1","LEXRPTS1","Right Posterior Tibial SBP 1 (mm Hg)","Right posterior tibial systolic blood pressure 1 (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""42 to 251"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2546"", ""638""]; Cumulative=[""2546"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXRPTS2","LEXRPTS2","Right Posterior Tibial SBP 2 (mm Hg)","Right posterior tibial systolic blood pressure 2 (in millimeters of mercury)","Both males and females 40 YEARS - 59 YEARS",NA,"Code.or.Value=[""51 to 234"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1272"", ""1912""]; Cumulative=[""1272"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXRPTSM","LEXRPTSM","Right Mean Posterior Tibial SBP (mm Hg)","Right mean posterior tibial systolic blood pressure (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""42 to 251"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2603"", ""581""]; Cumulative=[""2603"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXRABPI","LEXRABPI","Right ABPI","Right ABPI","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.23 to 1.62"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2596"", ""588""]; Cumulative=[""2596"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEALPTPD","LEALPTPD","Left PT pulse detected?","Left posterior tibial pulse detected?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""167"", ""54"", ""0"", ""2963""]; Cumulative=[""167"", ""221"", ""221"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEARPTPD","LEARPTPD","Right PT pulse detected?","Right posterior tibial pulse detected?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""178"", ""48"", ""0"", ""2958""]; Cumulative=[""178"", ""226"", ""226"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEALAPNC","LEALAPNC","Left ankle SBP > 255 mm Hg?","Left ankle systolic blood pressure > 255 mm Hg?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""30"", ""136"", ""0"", ""3018""]; Cumulative=[""30"", ""166"", ""166"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEARAPNC","LEARAPNC","Right ankle SBP > 255 mm Hg?","Right ankle systolic blood pressure > 255 mm Hg?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""38"", ""140"", ""0"", ""3006""]; Cumulative=[""38"", ""178"", ""178"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
