"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_2_B","SEQN","SEQN","Respondent sequence number","","Both males and females 8 YEARS - 150 YEARS",NA,NA
"DXX_2_B","DX2EXSTS","DX2EXSTS","Exam Status","","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Scan completed"", ""Scan completed, but invalid"", ""Missing""]; Count=[""479"", ""6"", ""0""]; Cumulative=[""479"", ""485"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2STBMC","DX2STBMC","Subtotal BMC (g)","Subtotal Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""970.85 to 3523.23"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2STBMD","DX2STBMD","Subtotal BMD (g/cm^2)","Subtotal Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.729 to 1.408"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2STFAT","DX2STFAT","Subtotal Fat (g)","Subtotal Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""5639.6 to 55012.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2STLI","DX2STLI","Subtotal Lean incl BMC (g)","Subtotal Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""24806.4 to 84136.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2STLE","DX2STLE","Subtotal Lean excl BMC (g)","Subtotal Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""23835.6 to 81206.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2STPF","DX2STPF","Subtotal Percent Fat","Subtotal Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""11.2 to 53.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2STTOT","DX2STTOT","Subtotal (Total excl Head) (g)","Subtotal (Total excl Head) (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""36199.3 to 125766.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOBCC","DX2TOBCC","Total Bone Mineral Density Validity Code","Total Bone Mineral Density Validity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid data"", ""Invalid data"", ""Missing""]; Count=[""414"", ""65"", ""6""]; Cumulative=[""414"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2TOPFC","DX2TOPFC","Total Percent Fat Validity Code","Total Percent Fat Validity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid data"", ""Invalid data"", ""Missing""]; Count=[""414"", ""65"", ""6""]; Cumulative=[""414"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2HEBV","DX2HEBV","Head Bone Invalidity Code","Head Bone Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""5"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Body parts out of scan region"", ""Other"", ""Missing""]; Count=[""479"", ""0"", ""0"", ""0"", ""0"", ""6""]; Cumulative=[""479"", ""479"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2LABV","DX2LABV","Left Arm Bone Invalidity Code","Left Arm Bone Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""464"", ""1"", ""0"", ""1"", ""13"", ""0"", ""0"", ""6""]; Cumulative=[""464"", ""465"", ""465"", ""466"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2LATV","DX2LATV","Left Arm Tissue Invalidity Code","Left Arm Tissue Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""464"", ""1"", ""0"", ""1"", ""13"", ""0"", ""0"", ""6""]; Cumulative=[""464"", ""465"", ""465"", ""466"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2LLBV","DX2LLBV","Left Leg Bone Invalidity Code","Left Leg Bone Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""467"", ""0"", ""6"", ""0"", ""5"", ""1"", ""0"", ""6""]; Cumulative=[""467"", ""467"", ""473"", ""473"", ""478"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2LLTV","DX2LLTV","Left Leg Tissue Invalidity Code","Left Leg Tissue Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""467"", ""0"", ""6"", ""0"", ""5"", ""1"", ""0"", ""6""]; Cumulative=[""467"", ""467"", ""473"", ""473"", ""478"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2RABV","DX2RABV","Right Arm Bone Invalidity Code","Right Arm Bone Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""464"", ""3"", ""3"", ""1"", ""8"", ""0"", ""0"", ""6""]; Cumulative=[""464"", ""467"", ""470"", ""471"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2RATV","DX2RATV","Right Arm Tissue Invalidity Code","Right Arm Tissue Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""464"", ""3"", ""3"", ""1"", ""8"", ""0"", ""0"", ""6""]; Cumulative=[""464"", ""467"", ""470"", ""471"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2RLBV","DX2RLBV","Right Leg Bone Invalidity Code","Right Leg Bone Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""466"", ""1"", ""8"", ""0"", ""4"", ""0"", ""0"", ""6""]; Cumulative=[""466"", ""467"", ""475"", ""475"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2RLTV","DX2RLTV","Right Leg Tissue Invalidity Code","Right Leg Tissue Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""466"", ""1"", ""8"", ""0"", ""4"", ""0"", ""0"", ""6""]; Cumulative=[""466"", ""467"", ""475"", ""475"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2TRBV","DX2TRBV","Trunk Bone Invalidity Code","Trunk Bone Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Excessive X-ray noise"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""443"", ""1"", ""8"", ""27"", ""0"", ""0"", ""0"", ""0"", ""6""]; Cumulative=[""443"", ""444"", ""452"", ""479"", ""479"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2TRTV","DX2TRTV","Trunk Tissue Invalidity Code","Trunk Tissue Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Excessive X-ray noise"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""443"", ""1"", ""8"", ""27"", ""0"", ""0"", ""0"", ""0"", ""6""]; Cumulative=[""443"", ""444"", ""452"", ""479"", ""479"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2HETV","DX2HETV","Head Tissue Invalidity Code","Head Tissue Invalidity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""5"", ""7"", "".""]; Value.Description=[""Valid data"", ""Jewelry or other objects not removed"", ""Non-removable objects"", ""Body parts out of scan region"", ""Other"", ""Missing""]; Count=[""479"", ""0"", ""0"", ""0"", ""0"", ""6""]; Cumulative=[""479"", ""479"", ""479"", ""479"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2STPFC","DX2STPFC","Subtotal Percent Fat Validity Code","Subtotal Percent Fat Validity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid data"", ""Invalid data"", ""Missing""]; Count=[""415"", ""64"", ""6""]; Cumulative=[""415"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2STBCC","DX2STBCC","Subtotal Bone Validity Code","Subtotal Bone Validity Code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid data"", ""Invalid data"", ""Missing""]; Count=[""415"", ""64"", ""6""]; Cumulative=[""415"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2DAY","DX2DAY","Days between primary and second exams","Number of days between the primary and the second day exams.","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""3 to 47"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TECH","DX2TECH","Techs for primary and second exams","Technicians for the primary and the second day exams.","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Same"", ""Different"", ""Missing""]; Count=[""358"", ""121"", ""6""]; Cumulative=[""358"", ""479"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
