"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"OHXPERIO","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"OHXPERIO","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Completed"", ""Partial"", ""Not Done"", ""Missing""]; Count=[""4880"", ""1488"", ""390"", ""0""]; Cumulative=[""4880"", ""6368"", ""6758"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD03LAS","OHD03LAS","LOA: mesial #3 calculated LA","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1361"", ""433"", ""4964""]; Cumulative=[""1361"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD04CJM","OHD04CJM","LOA: mid-facial #4 FGM/CEJ","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1419"", ""375"", ""4964""]; Cumulative=[""1419"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD04PCM","OHD04PCM","LOA: mid-facial #4 PD","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1419"", ""375"", ""4964""]; Cumulative=[""1419"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD04LAM","OHD04LAM","LOA: mid-facial #4 calculated LA","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1419"", ""375"", ""4964""]; Cumulative=[""1419"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD04CJS","OHD04CJS","LOA: mesial #4 FGM/CEJ","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1411"", ""383"", ""4964""]; Cumulative=[""1411"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD04PCS","OHD04PCS","LOA: mesial #4 PD","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1411"", ""383"", ""4964""]; Cumulative=[""1411"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD04LAS","OHD04LAS","LOA: mesial #4 calculated LA","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1411"", ""383"", ""4964""]; Cumulative=[""1411"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD05CJM","OHD05CJM","LOA: mid-facial #5 FGM/CEJ","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1390"", ""402"", ""4966""]; Cumulative=[""1390"", ""1792"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD05PCM","OHD05PCM","LOA: mid-facial #5 PD","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1390"", ""402"", ""4966""]; Cumulative=[""1390"", ""1792"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD05LAM","OHD05LAM","LOA: mid-facial #5 calculated LA","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1390"", ""402"", ""4966""]; Cumulative=[""1390"", ""1792"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD05CJS","OHD05CJS","LOA: mesial #5 FGM/CEJ","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1388"", ""403"", ""4967""]; Cumulative=[""1388"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD05PCS","OHD05PCS","LOA: mesial #5 PD","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1388"", ""403"", ""4967""]; Cumulative=[""1388"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD05LAS","OHD05LAS","LOA: mesial #5 calculated LA","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1388"", ""403"", ""4967""]; Cumulative=[""1388"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD06CJM","OHD06CJM","LOA: mid-facial #6 FGM/CEJ","Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1570"", ""218"", ""4970""]; Cumulative=[""1570"", ""1788"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD06PCM","OHD06PCM","LOA: mid-facial #6 PD","Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1570"", ""218"", ""4970""]; Cumulative=[""1570"", ""1788"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD06LAM","OHD06LAM","LOA: mid-facial #6 calculated LA","Loss of Attachment: Upper right cuspid (C) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1570"", ""218"", ""4970""]; Cumulative=[""1570"", ""1788"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD06CJS","OHD06CJS","LOA: mesial #6 FGM/CEJ","Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1564"", ""224"", ""4970""]; Cumulative=[""1564"", ""1788"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD06PCS","OHD06PCS","LOA: mesial #6 PD","Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1564"", ""224"", ""4970""]; Cumulative=[""1564"", ""1788"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD06LAS","OHD06LAS","LOA: mesial #6 calculated LA","Loss of Attachment: Upper right cuspid (C) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1564"", ""224"", ""4970""]; Cumulative=[""1564"", ""1788"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD07CJM","OHD07CJM","LOA: mid-facial #7 FGM/CEJ","Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1529"", ""261"", ""4968""]; Cumulative=[""1529"", ""1790"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD07PCM","OHD07PCM","LOA: mid-facial #7 PD","Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1529"", ""261"", ""4968""]; Cumulative=[""1529"", ""1790"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD07LAM","OHD07LAM","LOA: mid-facial #7 calculated LA","Loss of Attachment: Upper right lateral incisor (LI) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1529"", ""261"", ""4968""]; Cumulative=[""1529"", ""1790"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD07CJS","OHD07CJS","LOA: mesial #7 FGM/CEJ","Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1501"", ""289"", ""4968""]; Cumulative=[""1501"", ""1790"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD07PCS","OHD07PCS","LOA: mesial #7 PD","Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1501"", ""289"", ""4968""]; Cumulative=[""1501"", ""1790"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD07LAS","OHD07LAS","LOA: mesial #7 calculated LA","Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1501"", ""289"", ""4968""]; Cumulative=[""1501"", ""1790"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD08CJM","OHD08CJM","LOA: mid-facial #8 FGM/CEJ","Loss of Attachment: Upper right central incisor (CI) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1527"", ""264"", ""4967""]; Cumulative=[""1527"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD08PCM","OHD08PCM","LOA: mid-facial #8 PD","Loss of Attachment: Upper right central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1527"", ""264"", ""4967""]; Cumulative=[""1527"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD08LAM","OHD08LAM","LOA: mid-facial #8 calculated LA","Loss of Attachment: Upper right central incisor (CI) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1527"", ""264"", ""4967""]; Cumulative=[""1527"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD08CJS","OHD08CJS","LOA: mesial #8 FGM/CEJ","Loss of Attachment: Upper right central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1517"", ""274"", ""4967""]; Cumulative=[""1517"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD08PCS","OHD08PCS","LOA: mesial #8 PD","Loss of Attachment: Upper right central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1517"", ""274"", ""4967""]; Cumulative=[""1517"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD08LAS","OHD08LAS","LOA: mesial #8 calculated LA","Loss of Attachment: Upper right central incisor (CI) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1517"", ""274"", ""4967""]; Cumulative=[""1517"", ""1791"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD15CJM","OHD15CJM","LOA: mid-facial #15 FGM/CEJ","Loss of Attachment: Upper left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-11 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1371"", ""449"", ""4938""]; Cumulative=[""1371"", ""1820"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD15PCM","OHD15PCM","LOA: mid-facial #15 PD","Loss of Attachment: Upper left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1371"", ""449"", ""4938""]; Cumulative=[""1371"", ""1820"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD15LAM","OHD15LAM","LOA: mid-facial #15 calculated LA","Loss of Attachment: Upper left 2nd molar (2M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1371"", ""449"", ""4938""]; Cumulative=[""1371"", ""1820"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
