"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"BIX_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 49 YEARS",NA,NA
"BIX_C","BIAEXSTS","BIAEXSTS","BIA Status","BIA Status","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Examination completed"", ""Examination incomplete"", ""Not examined, pregnancy"", ""Not examined, weight > 300 lbs"", ""Not examined, jewelry or other objects not removed or metal in body"", ""Not examined, other reason"", ""Missing""]; Count=[""4298"", ""72"", ""276"", ""57"", ""238"", ""388"", ""0""]; Cumulative=[""4298"", ""4370"", ""4646"", ""4703"", ""4941"", ""5329"", ""5329""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BIX_C","BIDFFM","BIDFFM","Estimated fat-free mass (kg)","Estimated fat-free mass (kg)","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""14.1 to 105.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4159"", ""1170""]; Cumulative=[""4159"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIDFAT","BIDFAT","Estimated fat mass (kg)","Estimated fat mass (kg)","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""1.3 to 78.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4159"", ""1170""]; Cumulative=[""4159"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIDPFAT","BIDPFAT","Estimated percent body fat","Estimated percent body fat","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""2.1 to 60.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4159"", ""1170""]; Cumulative=[""4159"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS005K","BIXS005K","Resistance (Ohms) @ 5 KHz","Resistance (Ohms) @ 5 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""380.55 to 1093.73"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS006K","BIXS006K","Resistance (Ohms) @ 6 KHz","Resistance (Ohms) @ 6 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""378.25 to 1009.22"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS007K","BIXS007K","Resistance (Ohms) @ 7 KHz","Resistance (Ohms) @ 7 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""376.69 to 986.12"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS008K","BIXS008K","Resistance (Ohms) @ 8 KHz","Resistance (Ohms) @ 8 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""374.42 to 983.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS009K","BIXS009K","Resistance (Ohms) @ 9 KHz","Resistance (Ohms) @ 9 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""372.24 to 981.43"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS010K","BIXS010K","Resistance (Ohms) @ 10 KHz","Resistance (Ohms) @ 10 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""370.17 to 979.06"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS011K","BIXS011K","Resistance (Ohms) @ 11 KHz","Resistance (Ohms) @ 11 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""368.53 to 977.48"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS012K","BIXS012K","Resistance (Ohms) @ 12 KHz","Resistance (Ohms) @ 12 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""366.67 to 975.49"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS013K","BIXS013K","Resistance (Ohms) @ 13 KHz","Resistance (Ohms) @ 13 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""364.61 to 973.87"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS014K","BIXS014K","Resistance (Ohms) @ 14 KHz","Resistance (Ohms) @ 14 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""362.42 to 972.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS015K","BIXS015K","Resistance (Ohms) @ 15 KHz","Resistance (Ohms) @ 15 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""359.91 to 970.29"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS016K","BIXS016K","Resistance (Ohms) @ 16 KHz","Resistance (Ohms) @ 16 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""357.63 to 968.71"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS018K","BIXS018K","Resistance (Ohms) @ 18 KHz","Resistance (Ohms) @ 18 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""353.29 to 965.19"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS020K","BIXS020K","Resistance (Ohms) @ 20 KHz","Resistance (Ohms) @ 20 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""349.78 to 961.63"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS023K","BIXS023K","Resistance (Ohms) @ 23 KHz","Resistance (Ohms) @ 23 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""344.54 to 956.33"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS025K","BIXS025K","Resistance (Ohms) @ 25 KHz","Resistance (Ohms) @ 25 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""341.74 to 952.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS028K","BIXS028K","Resistance (Ohms) @ 28 KHz","Resistance (Ohms) @ 28 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""337.61 to 947.63"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS031K","BIXS031K","Resistance (Ohms) @ 31 KHz","Resistance (Ohms) @ 31 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""333.69 to 942.98"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS035K","BIXS035K","Resistance (Ohms) @ 35 KHz","Resistance (Ohms) @ 35 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""329.05 to 937.44"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS039K","BIXS039K","Resistance (Ohms) @ 39 KHz","Resistance (Ohms) @ 39 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""325.01 to 931.91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS043K","BIXS043K","Resistance (Ohms) @ 43 KHz","Resistance (Ohms) @ 43 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""321.51 to 926.97"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS050K","BIXS050K","Resistance (Ohms) @ 50 KHz","Resistance (Ohms) @ 50 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""316.05 to 918.76"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS054K","BIXS054K","Resistance (Ohms) @ 54 KHz","Resistance (Ohms) @ 54 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""313.35 to 914.83"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS060K","BIXS060K","Resistance (Ohms) @ 60 KHz","Resistance (Ohms) @ 60 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""309.74 to 909.74"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS067K","BIXS067K","Resistance (Ohms) @ 67 KHz","Resistance (Ohms) @ 67 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""305.97 to 904.97"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS075K","BIXS075K","Resistance (Ohms) @ 75 KHz","Resistance (Ohms) @ 75 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""302.28 to 899.91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS083K","BIXS083K","Resistance (Ohms) @ 83 KHz","Resistance (Ohms) @ 83 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""299.1 to 895.47"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS093K","BIXS093K","Resistance (Ohms) @ 93 KHz","Resistance (Ohms) @ 93 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""295.79 to 890.88"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS100K","BIXS100K","Resistance (Ohms) @ 100 KHz","Resistance (Ohms) @ 100 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""293.94 to 887.88"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS115K","BIXS115K","Resistance (Ohms) @ 115 KHz","Resistance (Ohms) @ 115 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""236.81 to 881.41"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS128K","BIXS128K","Resistance (Ohms) @ 128 KHz","Resistance (Ohms) @ 128 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""157.12 to 876.63"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS143K","BIXS143K","Resistance (Ohms) @ 143 KHz","Resistance (Ohms) @ 143 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""201.99 to 872.49"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS159K","BIXS159K","Resistance (Ohms) @ 159 KHz","Resistance (Ohms) @ 159 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""153.22 to 868.49"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS177K","BIXS177K","Resistance (Ohms) @ 177 KHz","Resistance (Ohms) @ 177 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""90.28 to 864.39"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS200K","BIXS200K","Resistance (Ohms) @ 200 KHz","Resistance (Ohms) @ 200 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""65.95 to 860.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS220K","BIXS220K","Resistance (Ohms) @ 220 KHz","Resistance (Ohms) @ 220 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""92.32 to 856.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS245K","BIXS245K","Resistance (Ohms) @ 245 KHz","Resistance (Ohms) @ 245 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""95.34 to 852.64"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS273K","BIXS273K","Resistance (Ohms) @ 273 KHz","Resistance (Ohms) @ 273 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""169.35 to 848.18"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS304K","BIXS304K","Resistance (Ohms) @ 304 KHz","Resistance (Ohms) @ 304 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""186.28 to 843.93"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS339K","BIXS339K","Resistance (Ohms) @ 339 KHz","Resistance (Ohms) @ 339 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""100.7 to 840.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS378K","BIXS378K","Resistance (Ohms) @ 378 KHz","Resistance (Ohms) @ 378 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""44.14 to 836.89"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS421K","BIXS421K","Resistance (Ohms) @ 421 KHz","Resistance (Ohms) @ 421 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""53.36 to 833.53"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS469K","BIXS469K","Resistance (Ohms) @ 469 KHz","Resistance (Ohms) @ 469 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""99.06 to 830.01"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS500K","BIXS500K","Resistance (Ohms) @ 500 KHz","Resistance (Ohms) @ 500 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""161.18 to 828.05"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS582K","BIXS582K","Resistance (Ohms) @ 582 KHz","Resistance (Ohms) @ 582 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""171.43 to 824.26"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS649K","BIXS649K","Resistance (Ohms) @ 649 KHz","Resistance (Ohms) @ 649 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""44.34 to 821.27"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS723K","BIXS723K","Resistance (Ohms) @ 723 KHz","Resistance (Ohms) @ 723 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""61.13 to 818.21"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS806K","BIXS806K","Resistance (Ohms) @ 806 KHz","Resistance (Ohms) @ 806 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""79.18 to 814.93"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS898K","BIXS898K","Resistance (Ohms) @ 898 KHz","Resistance (Ohms) @ 898 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""96.29 to 811.86"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXS1M","BIXS1M","Resistance (Ohms) @ 1 MHz","Resistance (Ohms) @ 1 MHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""89.34 to 807.92"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC005K","BIXC005K","Reactance (Ohms) @ 5 KHz","Reactance (Ohms) @ 5 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""13.17 to 971.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC006K","BIXC006K","Reactance (Ohms) @ 6 KHz","Reactance (Ohms) @ 6 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""12.79 to 883.07"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC007K","BIXC007K","Reactance (Ohms) @ 7 KHz","Reactance (Ohms) @ 7 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""14.9 to 783.31"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC008K","BIXC008K","Reactance (Ohms) @ 8 KHz","Reactance (Ohms) @ 8 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""15.62 to 744.16"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
