"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXT6_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT6_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT6_H","DXXBICRT","DXXBICRT","Amount of biconcave","Amount of biconcave","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXCRURT","DXXCRURT","Amount of UCSF crush","Amount of UCSF crush","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXWDGDE","DXXWDGDE","Percentage of wedge deformity","Percentage of wedge deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.051 to 0.449"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXBICDE","DXXBICDE","Percentage of biconcave deformity","Percentage of biconcave deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.007 to 0.361"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXCRUDE","DXXCRUDE","Percentage of UCSF crush deformity","Percentage of UCSF crush deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.236 to 0.307"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXSPX","DXXSPX","x-coordinate of superior posterior point","x-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXSPY","DXXSPY","y-coordinate of superior posterior point","y-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXSMX","DXXSMX","x-coordinate of superior mid point","x-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXSMY","DXXSMY","y-coordinate of superior mid point","y-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""48.3 to 234.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXSAX","DXXSAX","x-coordinate of superior anterior point","x-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4.6 to 550.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXSAY","DXXSAY","y-coordinate of superior anterior point","y-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""78.5 to 267.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXIAX","DXXIAX","x-coordinate of inferior anterior point","x-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.8 to 563.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXIAY","DXXIAY","y-coordinate of inferior anterior point","y-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""109.1 to 301.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXIMX","DXXIMX","x-coordinate of inferior mid point","x-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""10.3 to 572.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXIMY","DXXIMY","y-coordinate of inferior mid point","y-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""105.7 to 293.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXIPX","DXXIPX","x-coordinate of inferior posterior point","x-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""69 to 625.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXIPY","DXXIPY","y-coordinate of inferior posterior point","y-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""72.4 to 259.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT0X","DXXPT0X","x-coordinate of first outline point","x-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""65.3 to 616.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT0Y","DXXPT0Y","y-coordinate of first outline point","y-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""39 to 226.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT1X","DXXPT1X","x-coordinates of outline points 2","x-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""62.6 to 607.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT1Y","DXXPT1Y","y-coordinates of outline points 2","y-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""112.5 to 303.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT2X","DXXPT2X","x-coordinates of outline points 3","x-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""10.3 to 573.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT2Y","DXXPT2Y","y-coordinates of outline points 3","y-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""115.3 to 306"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT3X","DXXPT3X","x-coordinates of outline points 4","x-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""12 to 575.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT3Y","DXXPT3Y","y-coordinates of outline points 4","y-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""110.9 to 299.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT4X","DXXPT4X","x-coordinates of outline points 5","x-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""67.9 to 625.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT4Y","DXXPT4Y","y-coordinates of outline points 5","y-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""108.6 to 295.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT5X","DXXPT5X","x-coordinates of outline points 6","x-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""68.7 to 625.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT5Y","DXXPT5Y","y-coordinates of outline points 6","y-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""35 to 224.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT6X","DXXPT6X","x-coordinates of outline points 7","x-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""64.4 to 607.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT6Y","DXXPT6Y","y-coordinates of outline points 7","y-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""35.3 to 224.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT7X","DXXPT7X","x-coordinates of outline points 8","x-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""62 to 606.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT7Y","DXXPT7Y","y-coordinates of outline points 8","y-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""46.7 to 232.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT8X","DXXPT8X","x-coordinates of outline points 9","x-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7.4 to 547.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT8Y","DXXPT8Y","y-coordinates of outline points 9","y-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""45.3 to 231"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT9X","DXXPT9X","x-coordinates of outline points 10","x-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5.9 to 549.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT9Y","DXXPT9Y","y-coordinates of outline points 10","y-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""113.8 to 304.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT10X","DXXPT10X","x-coordinates of outline points 11","x-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""10.6 to 574"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT10Y","DXXPT10Y","y-coordinates of outline points 11","y-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""109.9 to 298.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT11X","DXXPT11X","x-coordinates of outline points 12","x-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""68.7 to 625.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT11Y","DXXPT11Y","y-coordinates of outline points 12","y-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""39 to 226.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT12X","DXXPT12X","x-coordinates of outline points 13","x-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""62.6 to 607.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT12Y","DXXPT12Y","y-coordinates of outline points 13","y-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""48.3 to 234.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT13X","DXXPT13X","x-coordinates of outline points 14","x-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4.6 to 550.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT13Y","DXXPT13Y","y-coordinates of outline points 14","y-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""113.2 to 303.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT14X","DXXPT14X","x-coordinates of outline points 15","x-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""16 to 577.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT14Y","DXXPT14Y","y-coordinates of outline points 15","y-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""111.1 to 301.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT15X","DXXPT15X","x-coordinates of outline points 16","x-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""20.1 to 581"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT15Y","DXXPT15Y","y-coordinates of outline points 16","y-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""109.6 to 300.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT16X","DXXPT16X","x-coordinates of outline points 17","x-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""24.2 to 584.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT16Y","DXXPT16Y","y-coordinates of outline points 17","y-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""108.8 to 299.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT17X","DXXPT17X","x-coordinates of outline points 18","x-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""28.7 to 588.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT17Y","DXXPT17Y","y-coordinates of outline points 18","y-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""108.2 to 298.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT18X","DXXPT18X","x-coordinates of outline points 19","x-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""33.9 to 593"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT18Y","DXXPT18Y","y-coordinates of outline points 19","y-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""107.8 to 297.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT19X","DXXPT19X","x-coordinates of outline points 20","x-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""38.9 to 597.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT19Y","DXXPT19Y","y-coordinates of outline points 20","y-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""107.5 to 297.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT20X","DXXPT20X","x-coordinates of outline points 21","x-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""44.1 to 602.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT20Y","DXXPT20Y","y-coordinates of outline points 21","y-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""107.4 to 296.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPT21X","DXXPT21X","x-coordinates of outline points 22","x-coordinates of outline points 22","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""49.4 to 606.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3194"", ""514""]; Cumulative=[""3194"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
