"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_G","DXAEXSTS","DXAEXSTS","Exam Status","Exam Status","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Whole body scan completed"", ""Whole body scan completed, but  invalid"", ""Whole body not scanned, pregnancy"", ""Whole body not scanned, weight > 450 lbs"", ""Whole body not scanned,  height > 6'5"", ""Whole body not scanned, other reason"", ""Missing""]; Count=[""4749"", ""3"", ""57"", ""1"", ""9"", ""873"", ""0""]; Cumulative=[""4749"", ""4752"", ""4809"", ""4810"", ""4819"", ""5692"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXLABMC","DXXLABMC","Left Arm BMC (g)","Left Arm Body Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""33.02 to 356.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4682"", ""1010""]; Cumulative=[""4682"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLABMD","DXXLABMD","Left Arm BMD (g/cm^2)","Left Arm Body Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.353 to 1.222"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4682"", ""1010""]; Cumulative=[""4682"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXALATV","DXALATV","Left Arm Tissue Invalidity Code","Left Arm Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4670"", ""27"", ""19"", ""24"", ""7"", ""2"", ""943""]; Cumulative=[""4670"", ""4697"", ""4716"", ""4740"", ""4747"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXLAFAT","DXXLAFAT","Left Arm Fat (g)","Left Arm Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""162.7 to 7182.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4671"", ""1021""]; Cumulative=[""4671"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDLALE","DXDLALE","Left Arm Lean excl BMC (g)","Left Arm Lean excl Body Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""533.8 to 7394.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4671"", ""1021""]; Cumulative=[""4671"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLALI","DXXLALI","Left Arm Lean incl BMC (g)","Left Arm Lean incl BMC (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""579.6 to 7729.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4682"", ""1010""]; Cumulative=[""4682"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDLATOT","DXDLATOT","Left Arm Total (g)","Left Arm Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""885.4 to 12749.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4669"", ""1023""]; Cumulative=[""4669"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDLAPF","DXDLAPF","Left Arm Percent Fat","Left Arm Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11 to 66"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4671"", ""1021""]; Cumulative=[""4671"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXALLBV","DXALLBV","Left Leg Bone Invalidity Code","Left Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4658"", ""50"", ""11"", ""24"", ""5"", ""1"", ""943""]; Cumulative=[""4658"", ""4708"", ""4719"", ""4743"", ""4748"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXLLA","DXXLLA","Left Leg Area (cm^2)","Left Leg Area(cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""174.52 to 546.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4658"", ""1034""]; Cumulative=[""4658"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLLBMC","DXXLLBMC","Left Leg BMC (g)","Left Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""97.47 to 1068.96"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4658"", ""1034""]; Cumulative=[""4658"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLLBMD","DXXLLBMD","Left Leg BMD (g/cm^2)","Left Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.516 to 2.236"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4658"", ""1034""]; Cumulative=[""4658"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXALLTV","DXALLTV","Left Leg Tissue Invalidity Code","Left Leg Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4651"", ""50"", ""18"", ""24"", ""5"", ""1"", ""943""]; Cumulative=[""4651"", ""4701"", ""4719"", ""4743"", ""4748"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXLLFAT","DXXLLFAT","Left Leg Fat (g)","Left Leg Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""561.1 to 21616.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4651"", ""1041""]; Cumulative=[""4651"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDLLLE","DXDLLLE","Left Leg Lean excl BMC (g)","Left Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2005.4 to 22044"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4651"", ""1041""]; Cumulative=[""4651"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLLLI","DXXLLLI","Left Leg Lean incl BMC (g)","Left Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2102.8 to 22806.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4658"", ""1034""]; Cumulative=[""4658"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDLLTOT","DXDLLTOT","Left Leg Total (g)","Left Leg Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2798.1 to 39329.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4649"", ""1043""]; Cumulative=[""4649"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDLLPF","DXDLLPF","Left Leg Percent Fat","Left Leg Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.3 to 58.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4651"", ""1041""]; Cumulative=[""4651"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXARABV","DXARABV","Right Arm Bone Invalidity Code","Right Arm Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4684"", ""21"", ""16"", ""23"", ""3"", ""2"", ""943""]; Cumulative=[""4684"", ""4705"", ""4721"", ""4744"", ""4747"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXRAA","DXXRAA","Right Arm Area (cm^2)","Right Arm Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""75.48 to 386.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4684"", ""1008""]; Cumulative=[""4684"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRABMC","DXXRABMC","Right Arm BMC (g)","Right Arm Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""32.7 to 375.33"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4684"", ""1008""]; Cumulative=[""4684"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRABMD","DXXRABMD","Right Arm BMD (g/cm^2)","Right Arm Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.379 to 1.209"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4684"", ""1008""]; Cumulative=[""4684"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXARATV","DXARATV","Right Arm Tissue Invalidity Code","Right Arm Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4669"", ""21"", ""28"", ""26"", ""3"", ""2"", ""943""]; Cumulative=[""4669"", ""4690"", ""4718"", ""4744"", ""4747"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXRAFAT","DXXRAFAT","Right Arm Fat (g)","Right Arm Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""171.8 to 7182.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4669"", ""1023""]; Cumulative=[""4669"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDRALE","DXDRALE","Right Arm Lean excl BMC (g)","Right Arm Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""619.1 to 7438.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4669"", ""1023""]; Cumulative=[""4669"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRALI","DXXRALI","Right Arm Lean incl BMC (g)","Right Arm Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""662.7 to 7813.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4684"", ""1008""]; Cumulative=[""4684"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDRATOT","DXDRATOT","Right Arm Total (g)","Right Arm Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""987.5 to 12749.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4668"", ""1024""]; Cumulative=[""4668"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDRAPF","DXDRAPF","Right Arm Percent Fat","Right Arm Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.8 to 64.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4669"", ""1023""]; Cumulative=[""4669"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXARLBV","DXARLBV","Right Leg Bone Invalidity Code","Right Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4660"", ""44"", ""18"", ""21"", ""3"", ""3"", ""943""]; Cumulative=[""4660"", ""4704"", ""4722"", ""4743"", ""4746"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXRLA","DXXRLA","Right Leg Area (cm^2)","Right Leg Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""177.31 to 547.91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4660"", ""1032""]; Cumulative=[""4660"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRLBMC","DXXRLBMC","Right Leg BMC (g)","Right Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""99.78 to 1063.78"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4660"", ""1032""]; Cumulative=[""4660"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRLBMD","DXXRLBMD","Right Leg BMD(g/cm^2)","Right Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.533 to 2.141"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4660"", ""1032""]; Cumulative=[""4660"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXARLTV","DXARLTV","Right Leg Tissue Invalidity Code","Right Leg Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4646"", ""45"", ""30"", ""22"", ""3"", ""3"", ""943""]; Cumulative=[""4646"", ""4691"", ""4721"", ""4743"", ""4746"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXRLFAT","DXXRLFAT","Right Leg Fat (g)","Right Leg Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""628.8 to 21616.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4646"", ""1046""]; Cumulative=[""4646"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDRLLE","DXDRLLE","Right Leg Lean excl BMC (g)","Right Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1942.6 to 21272.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4646"", ""1046""]; Cumulative=[""4646"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRLLI","DXXRLLI","Right Leg Lean incl BMC (g)","Right Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2042.4 to 22036.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4660"", ""1032""]; Cumulative=[""4660"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDRLTOT","DXDRLTOT","Right Leg Total (g)","Right Leg Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2779.5 to 39329.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4646"", ""1046""]; Cumulative=[""4646"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDRLPF","DXDRLPF","Right Leg Percent Fat","Right Leg Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.6 to 59.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4646"", ""1046""]; Cumulative=[""4646"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLRA","DXXLRA","Left Ribs Area (cm^2)","Left Ribs Area(cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""51.27 to 199.47"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLRBMC","DXXLRBMC","Left Ribs BMC (g)","Left Ribs Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""22.5 to 166.34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLRBMD","DXXLRBMD","Left Ribs BMD (g/cm^2)","Left Ribs Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.371 to 1.067"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRRA","DXXRRA","Right Ribs Area (cm^2)","Right Ribs Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""50.06 to 233.57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRRBMC","DXXRRBMC","Right Ribs BMC (g)","Right Ribs Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""18.32 to 211.89"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXRRBMD","DXXRRBMD","Right Ribs BMD (g/cm^2)","Right Ribs Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.352 to 1.035"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXTSA","DXXTSA","Thoracic Spine Area (cm^2)","Thoracic Spine Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""44.46 to 231.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXTSBMC","DXXTSBMC","Thoracic Spine BMC (g)","Thoracic Spine Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""18.9 to 284.97"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXTSBMD","DXXTSBMD","Thoracic Spine BMD (g/cm^2)","Thoracic Spine Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.383 to 1.491"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLSA","DXXLSA","Lumbar Spine Area (cm^2)","Lumbar Spine Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.81 to 109.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXLSBMC","DXXLSBMC","Lumbar Spine BMC (g)","Lumbar Spine Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""6.21 to 156.14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4620"", ""1072""]; Cumulative=[""4620"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
