"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSUVOC_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSUVOC_D","WTSVOC2Y","WTSVOC2Y","VOC Subsample 2 yr MEC weight","VOC Subsample 2 yr MEC weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""."", ""2605.678075 to 325216.78843""]; Value.Description=[""No Lab Result"", ""Missing"", ""Range of Values""]; Count=[""17"", ""0"", ""3300""]; Cumulative=[""3317"", ""3317"", ""3300""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URDAAMLC","URDAAMLC","N-ace-S-(2-carbamoylethyl)-L-cys comt","N-acetyl-S-(2-carbamoylethyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3135"", ""34"", ""148""]; Cumulative=[""3135"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXAMC","URXAMC","N-ace-S-(N-methlcarbamoyl)-L-cys(ng/mL)","N-acetyl-S-(N-methylcarbamoyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.43 to 3070"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDAMCLC","URDAMCLC","N-ace-S-(N-methlcarbamoyl)-L-cys comt","N-acetyl-S-(N-methylcarbamoyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3117"", ""52"", ""148""]; Cumulative=[""3117"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXATC","URXATC","2-amnothiazolne-4-carbxylic acid(ng/mL)","2-aminothiazoline-4-carboxylic acid(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10.6 to 4480"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDATCLC","URDATCLC","2-amnothiazolne-4-carbxylic acid comt","2-amnothiazolne-4-carbxylic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2198"", ""971"", ""148""]; Cumulative=[""2198"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXBMA","URXBMA","N-acetyl-S-(benzyl)-L-cysteine(ng/mL)","N-acetyl-S-(benzyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.354 to 7930"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDBMALC","URDBMALC","N-acetyl-S-(benzyl)-L-cysteine comt","N-acetyl-S-(benzyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3143"", ""26"", ""148""]; Cumulative=[""3143"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXBPM","URXBPM","N-acetyl-S-(n-propyl)-L-cysteine(ng/mL)","N-acetyl-S-(n-propyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.85 to 804"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDBPMLC","URDBPMLC","N-acetyl-S-(n-propyl)-L-cysteine comt","N-acetyl-S-(n-propyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2218"", ""951"", ""148""]; Cumulative=[""2218"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXCEM","URXCEM","N-acetyl-S-(2-Carbxyethyl)-L-cys(ng/mL)","N-acetyl-S- (2-Carboxyethyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.92 to 3260"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDCEMLC","URDCEMLC","N-acetyl-S-(2-Carbxyethyl)-L-cys comt","N-acetyl-S- (2-Carboxyethyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3102"", ""67"", ""148""]; Cumulative=[""3102"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXCYM","URXCYM","N-acetyl-S-(2-cyanoethyl)-L-cyst(ng/mL)","N-acetyl-S-(2-cyanoethyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.354 to 1090"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDCYMLC","URDCYMLC","N-acetyl-S-(2-cyanoethyl)-L-cyst comt","N-acetyl-S-(2-cyanoethyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2870"", ""299"", ""148""]; Cumulative=[""2870"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXDHB","URXDHB","N-ace-S-(34-Dihidxybutl)-L-cys(ng/mL)","N-acetyl-S-(34-Dihidroxybutyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.71 to 4580"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDDHBLC","URDDHBLC","N-ace-S-(34-Dihidxybutl)-L-cys comt","N-acetyl-S-(34-Dihidroxybutyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3158"", ""11"", ""148""]; Cumulative=[""3158"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXDPM","URXDPM","N-ace-S-(dimethylphenyl)-L-cys(ng/mL)","N-acetyl-S-(dimethylphenyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.354 to 3.28"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDDPMLC","URDDPMLC","N-ace-S-(dimethylphenyl)-L-cys comt","N-acetyl-S-(dimethylphenyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""9"", ""3160"", ""148""]; Cumulative=[""9"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXGAM","URXGAM","N-ac-S-(2-carbmo-2-hydxel)-L-cys(ng/mL)","N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.65 to 363"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDGAMLC","URDGAMLC","N-ac-S-(2-carbmo-2-hydxel)-L-cys comt","N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1937"", ""1232"", ""148""]; Cumulative=[""1937"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXHEM","URXHEM","N-ace-S-(2-Hydroxyethyl)-L-cys(ng/mL)","N-acetyl-S- (2-Hydroxyethyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.559 to 37.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDHEMLC","URDHEMLC","N-ace-S-(2-Hydroxyethyl)-L-cys comt","N-acetyl-S- (2-Hydroxyethyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""942"", ""2227"", ""148""]; Cumulative=[""942"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXHP2","URXHP2","N-ace-S-(2-hydroxypropyl)-L-cys(ng/mL)","N-acetyl-S- (2-hydroxypropyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.75 to 6470"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDHP2LC","URDHP2LC","N-ace-S-(2-hydroxypropyl)-L-cys comt","N-acetyl-S-(2-hydroxypropyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2980"", ""189"", ""148""]; Cumulative=[""2980"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXHPM","URXHPM","N-ace-S-(3-Hydroxypropyl)-L-cys(ng/mL)","N-acetyl-S-(3-Hydroxypropyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""9.2 to 7010"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDHPMLC","URDHPMLC","N-ace-S-(3-Hydroxypropyl)-L-cys comt","N-acetyl-S-(3-Hydroxypropyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3133"", ""36"", ""148""]; Cumulative=[""3133"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXPMM","URXPMM","N-a-s-(3-hydrxprpl-1-metl)-L-cys(ng/mL)","N-acetyl-s-(3-hydroxypropyl-1-methyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.8 to 8080"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDPMMLC","URDPMMLC","N-a-s-(3-hydrxprpl-1-metl)-L-cys comt","N-acetyl-s-(3-hydroxypropyl-1-methyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3164"", ""5"", ""148""]; Cumulative=[""3164"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXMAD","URXMAD","Mandelic acid(ng/mL)","Mandelic acid(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.5 to 75900"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDMADLC","URDMADLC","Mandelic acid comment code","Mandelic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3133"", ""36"", ""148""]; Cumulative=[""3133"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXMB3","URXMB3","N-a-s-(4-hydrxy-2butn-l-yl)-L-cys(ng/mL)","N-acetyl-s-(4-hydroxy-2-butenyl)-L-cysteine (ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.424 to 377"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDMB3LC","URDMB3LC","N-a-s-(4-hydrxy-2butn-l-yl)-L-cys comt","N-acetyl-s-(4-hydroxy-2-butenyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""."", ""0"", ""1""]; Value.Description=[""Missing"", ""At or above the detection limit"", ""Below lower detection limit""]; Count=[""148"", ""3079"", ""90""]; Cumulative=[""3317"", ""3079"", ""3169""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXMB2","URXMB2","N-ac-s-(2-hydrxy-3-butnyl)-L-cys(ng/mL)","N-acetyl-s-(2-hydroxy-3-butenyl)-L-cysteine (ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.495 to 18.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDMB2LC","URDMB2LC","N-ac-s-(2-Hydrxy-3-butnyl)-L-cys comt","N-acetyl-S-(2-hydroxy-3-butenyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""381"", ""2788"", ""148""]; Cumulative=[""381"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXMB1","URXMB1","N-a-s-(1-hydrxMet)-2-prpn)-L-cys(ng/mL)","N-acetyl-s-(1-hydroxyMethyl)-2-propenyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.495 to 4.59"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDMB1LC","URDMB1LC","N-a-s-(1-hydrxMet)-2-prpn)-L-cys comt","N-acetyl-s-(1-hydroxyMethyl)-2-propenyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""26"", ""3143"", ""148""]; Cumulative=[""26"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXPHE","URXPHE","N-ace-s-(phenl-2-hydxyetl)-L-cys(ng/mL)","N-acetyl-S-(phenyl-2-hydroxyethyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.495 to 66.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDPHELC","URDPHELC","N-ace-s-(phenl-2-hydxyetl)-L-cys comt","N-acetyl-S-(phenyl-2-hydroxyethyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""260"", ""2909"", ""148""]; Cumulative=[""260"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXPHG","URXPHG","Phenylglyoxylic acid(ng/mL)","Phenylglyoxylic acid(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.5 to 74900"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDPHGLC","URDPHGLC","Phenylglyoxylic acid comment code","Phenylglyoxylic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2665"", ""504"", ""148""]; Cumulative=[""2665"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXPMA","URXPMA","N-acetyl-s-(phenyl)-L-cysteine(ng/mL)","N-acetyl-s-(phenyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.424 to 37.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDPMALC","URDPMALC","N-acetyl-s-(phenyl)-L-cysteine comt","N-acetyl-s-(phenyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""661"", ""2508"", ""148""]; Cumulative=[""661"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXTCV","URXTCV","N-acetyl-s-(trichlorovinyl)-L-cys(ng/mL)","N-acetyl-s-(trichlorovinyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.12 to 16.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDTCVLC","URDTCVLC","N-acetyl-s-(trichlorovinyl)-L-cys comt","N-acetyl-s-(trichlorovinyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2"", ""3167"", ""148""]; Cumulative=[""2"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXTTC","URXTTC","2-thoxothazlidne-4-carbxylic acid(ng/mL)","2-thioxothiazolidine-4-carboxylic acid(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""7.92 to 2920"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URDTTCLC","URDTTCLC","2-thoxothazlidne-4-carbxylic comt","2-thioxothiazolidine-4-carboxylic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1221"", ""1948"", ""148""]; Cumulative=[""1221"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
