"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSPCB_B","POOLID","POOLID","Pool ID number","Pool ID number","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=["".""]; Value.Description=[""Missing""]; Count=[""0""]; Cumulative=[""0""]; Skip.to.Item=[""NA""]"
"SSPCB_B","SS128","SS128","PCB128","PCB128","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 0.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS138","SS138","PCB138-158","PCB138-158","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.6 to 71.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS146","SS146","PCB146","PCB146","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 15.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS149","SS149","PCB149","PCB149","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 0.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS151","SS151","PCB151","PCB151","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 0.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS153","SS153","PCB153","PCB153","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.3 to 118.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS170","SS170","PCB170","PCB170","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.9 to 32.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS172","SS172","PCB172","PCB172","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 4.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS177","SS177","PCB177","PCB177","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 5.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS178","SS178","PCB178","PCB178","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 7.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS180","SS180","PCB180","PCB180","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.9 to 100.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS183","SS183","PCB183","PCB183","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS187","SS187","PCB187","PCB187","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.5 to 35.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS194","SS194","PCB194","PCB194","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 22.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS195","SS195","PCB195","PCB195","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 4.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS196","SS196","PCB196-203","PCB196-203","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 20.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS199","SS199","PCB199","PCB199","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 23.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS206","SS206","PCB206","PCB206","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 15.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS209","SS209","PCB209","PCB209","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 16.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
