"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSAFB_A","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSAFB_A","WTSPH18","WTSPH18","Phthalate Mec Weight Jack Knife Rep 18","Phthalate Mec Weight Jack Knife Rep 18","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 778875.00902"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH19","WTSPH19","Phthalate Mec Weight Jack Knife Rep 19","Phthalate Mec Weight Jack Knife Rep 19","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 806797.8028"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH20","WTSPH20","Phthalate Mec Weight Jack Knife Rep 20","Phthalate Mec Weight Jack Knife Rep 20","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 785428.99916"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH21","WTSPH21","Phthalate Mec Weight Jack Knife Rep 21","Phthalate Mec Weight Jack Knife Rep 21","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 790952.9526"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH22","WTSPH22","Phthalate Mec Weight Jack Knife Rep 22","Phthalate Mec Weight Jack Knife Rep 22","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 784232.96861"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH23","WTSPH23","Phthalate Mec Weight Jack Knife Rep 23","Phthalate Mec Weight Jack Knife Rep 23","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 777601.80666"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH24","WTSPH24","Phthalate Mec Weight Jack Knife Rep 24","Phthalate Mec Weight Jack Knife Rep 24","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 784675.43003"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH25","WTSPH25","Phthalate Mec Weight Jack Knife Rep 25","Phthalate Mec Weight Jack Knife Rep 25","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 784085.31241"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH26","WTSPH26","Phthalate Mec Weight Jack Knife Rep 26","Phthalate Mec Weight Jack Knife Rep 26","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 777322.16598"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH27","WTSPH27","Phthalate Mec Weight Jack Knife Rep 27","Phthalate Mec Weight Jack Knife Rep 27","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 795953.93857"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH28","WTSPH28","Phthalate Mec Weight Jack Knife Rep 28","Phthalate Mec Weight Jack Knife Rep 28","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 800311.10032"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH29","WTSPH29","Phthalate Mec Weight Jack Knife Rep 29","Phthalate Mec Weight Jack Knife Rep 29","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 789325.00184"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
