"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"BFRPOL_F","SAMPLEID","SAMPLEID","Pool identification number","Pool identification number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"BFRPOL_F","LBDBR5LC","LBDBR5LC","22445-pentabromphenyl ether comt","22445-Pentabromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""301"", ""0"", ""0""]; Cumulative=[""301"", ""301"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR6","LBCBR6","22446-pentabromodiphyl ether(pg/g)","22446-Pentabromodiphyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.192 to 184.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR6LA","LBCBR6LA","22446-pentabromdphyl lpd adj(ng/g)","22446-Pentabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.8979 to 30.42"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR6LC","LBDBR6LC","22446-pentabromdphenyl ether comt","22446-Pentabromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""301"", ""0"", ""0""]; Cumulative=[""301"", ""301"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR66","LBCBR66","2344-tetrabromodiphenyl ether(pg/g)","2344-Tetrabromodiphenyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.693 to 9.638"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR66L","LBCBR66L","2344-tetrabromodiphyl lpd adj(ng/g)","2344-Tetrabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.08485 to 1.849"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR66C","LBDBR66C","2344-tetrabromodiphenyl ether comt","2344-Tetrabromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""148"", ""153"", ""0""]; Cumulative=[""148"", ""301"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR7","LBCBR7","224455-hxbromodiphnyl ethr(pg/g)","224455-Hxbromodiphnyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""12.87 to 493.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR7LA","LBCBR7LA","224455-hxbrmphenyl lpd adj(ng/g)","224455-Hexabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.832 to 74.84"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR7LC","LBDBR7LC","224455-hexabromphenyl ether comt","224455-Hexabromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""301"", ""0"", ""0""]; Cumulative=[""301"", ""301"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR8","LBCBR8","224456-hxabromodiphyl ethr(pg/g)","224456-Hexabromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.9192 to 28.66"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""299"", ""2""]; Cumulative=[""299"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR8LA","LBCBR8LA","224456-hxbrmphenyl lpd adj(ng/g)","224456-Hexabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1131 to 5.498"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""299"", ""2""]; Cumulative=[""299"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR8LC","LBDBR8LC","224456-hexabromphenyl ether comt","224456-Hexabromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""240"", ""59"", ""2""]; Cumulative=[""240"", ""299"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR9","LBCBR9","2234456-hptbrodiphyl ethr(pg/g)","2234456-Heptabromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7778 to 9.862"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR9LA","LBCBR9LA","2234456-hptbrphnl lpd adj(ng/g)","2234456-Heptabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.09192 to 1.386"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR9LC","LBDBR9LC","2234456-heptabrophenl ether cmt","2234456-Heptabromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""179"", ""122"", ""0""]; Cumulative=[""179"", ""301"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
