"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSANA2_A","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSANA2_A","WTANA6YR","WTANA6YR","Six-year SSANA subsample weights","Six-year SSANA subsample weights","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1715.213371 to 262789.6562"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""4532"", ""0"", ""0""]; Cumulative=[""4532"", ""4532"", ""4532""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSANA2_A","SSNDSPSG","SSNDSPSG","nucleus dense fine speckles signal","nucleus dense fine speckles signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNFSPOS","SSNFSPOS","nucleus fine speckles positive","nucleus fine speckles positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNFSPSG","SSNFSPSG","nucleus fine speckles signal","nucleus fine speckles signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUCSPP","SSNUCSPP","nucleus coarse speckles positive","nucleus coarse speckles positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUCSPS","SSNUCSPS","nucleus coarse speckles signal","nucleus coarse speckles signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUCENP","SSNUCENP","nucleus centromere positive","nucleus centromere positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUCENS","SSNUCENS","nuclear centomere signal","nuclear centomere signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUDOTP","SSNUDOTP","nuclear dots positive","nuclear dots positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUDOTS","SSNUDOTS","nuclear dots signal","nuclear dots signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUENVP","SSNUENVP","nuclear envelope positive","nuclear envelope positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNUENVS","SSNUENVS","nuclear envelope signal","nuclear envelope signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNPSPOS","SSNPSPOS","nucleus PCNA-Like positive","nucleus PCNA-Like positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSNPSSIG","SSNPSSIG","nucleus PCNP-Like signal","nucleus PCNP-Like signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCENPOS","SSCENPOS","nucleus CEN-F-like positive","nucleus CEN-F-like positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", "".""]; Value.Description=[""0"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCENSIG","SSCENSIG","nucleus CEC-F like signal","nucleus CEC-F like signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", "".""]; Value.Description=[""0"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYHOMP","SSCYHOMP","cytoplasm homogeneous positive","cytoplasm homogeneous positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYHOMS","SSCYHOMS","cytoplasm homogeneous signal","cytoplasm homogeneous signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYSPS","SSCYSPS","cytoplasm speckled positive","cytoplasm speckled positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYTSG","SSCYTSG","cytoplasm speckled signal","cytoplasm speckled signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYMIP","SSCYMIP","cytoplasm mitochondria-like positive","cytoplasm mitochondria-like positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYMIS","SSCYMIS","cytoplasm mitochondria-like signal","cytoplasm mitochondria-like signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYGOP","SSCYGOP","cytoplasm golgi complex positive","cytoplasm golgi complex positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYGOS","SSCYGOS","cytoplasm golgi complex signal","cytoplasm golgi complex signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYGWP","SSCYGWP","cytoplasm GW body positive","cytoplasm GW body positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYGWS","SSCYGWS","cytoplasm GW body signal","cytoplasm GW body signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYFLPS","SSCYFLPS","cytoplasm cytofilament positive","cytoplasm cytofilament positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYFLSG","SSCYFLSG","cytoplasm cytofilament signal","cytoplasm cytofilament signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYRRPS","SSCYRRPS","cytoplasm rods/rings positive","cytoplasm rods/rings positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSCYRRSG","SSCYRRSG","cytoplasm rods/rings signal","cytoplasm rods/rings signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMTCNPS","SSMTCNPS","mitotic centrosome positive","mitotic centrosome positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMTCNSG","SSMTCNSG","mitotic centrosome signal","mitotic centrosome signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMISFPS","SSMISFPS","mitotic spindle fibers positive","mitotic spindle fibers positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMISFSG","SSMISFSG","mitotic spindle fibers signal","mitotic spindle fibers signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMTNMPS","SSMTNMPS","mitotic NuMa positive","mitotic NuMa positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMTNMSG","SSMTNMSG","mitotic NuMa signal","mitotic NuMa signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMTBRPS","SSMTBRPS","mitotic intracellular bridge positive","mitotic intracellular bridge positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", "".""]; Value.Description=[""0"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMTBRSG","SSMTBRSG","mitotic intracellular bridge signal","mitotic intracellular bridge signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", "".""]; Value.Description=[""0"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMICHP","SSMICHP","mitotic chromosomes positive","mitotic chromosomes positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_A","SSMICHS","SSMICHS","mitotic chromosomes signal","mitotic chromosomes signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4527"", ""5""]; Cumulative=[""4527"", ""4532""]; Skip.to.Item=[""NA"", ""NA""]"
