"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"PFC_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"PFC_F","WTSC2YR","WTSC2YR","Two-year MEC weights of subsample C","Two-year MEC weights of subsample C ","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 413068.05064"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2432"", ""0""]; Cumulative=[""2432"", ""2432""]; Skip.to.Item=[""NA"", ""NA""]"
"PFC_F","LBXPFBS","LBXPFBS","Perfluorobutane sulfonic acid","Perfluorobutane sulfonic acid","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 1.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2233"", ""199""]; Cumulative=[""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA""]"
"PFC_F","LBDPFBSL","LBDPFBSL","Perfluorobutane sulfonic acid comment","Perfluorobutane sulfonic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""19"", ""2214"", ""199""]; Cumulative=[""19"", ""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PFC_F","LBXPFHP","LBXPFHP","Perfluoroheptanoic acid","Perfluoroheptanoic acid","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2233"", ""199""]; Cumulative=[""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA""]"
"PFC_F","LBDPFHPL","LBDPFHPL","Perfluoroheptanoic acid comment","Perfluoroheptanoic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""457"", ""1776"", ""199""]; Cumulative=[""457"", ""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PFC_F","LBXPFNA","LBXPFNA","Perfluorononanoic acid","Perfluorononanoic acid ","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.058 to 19.352"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2233"", ""199""]; Cumulative=[""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA""]"
"PFC_F","LBDPFNAL","LBDPFNAL","Perfluorononanoic acid comment","Perfluorononanoic acid comment code ","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2228"", ""5"", ""199""]; Cumulative=[""2228"", ""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PFC_F","LBXPFSA","LBXPFSA","Perfluorooctane sulfonamide","Perfluorooctane sulfonamide ","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 0.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2233"", ""199""]; Cumulative=[""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA""]"
"PFC_F","LBDPFSAL","LBDPFSAL","Perfluorooctane sulfonamide comment","Perfluorooctane sulfonamide comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3"", ""2230"", ""199""]; Cumulative=[""3"", ""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PFC_F","LBXPFUA","LBXPFUA","Perfluoroundecanoic acid","Perfluoroundecanoic acid ","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 28.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2233"", ""199""]; Cumulative=[""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA""]"
"PFC_F","LBDPFUAL","LBDPFUAL","Perfluoroundecanoic acid comment","Perfluoroundecanoic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1555"", ""678"", ""199""]; Cumulative=[""1555"", ""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PFC_F","LBXPFDO","LBXPFDO","Perfluorododecanoic acid","Perflurododecanoic acid","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 2.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2233"", ""199""]; Cumulative=[""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA""]"
"PFC_F","LBDPFDOL","LBDPFDOL","Perfluorododecanoic acid comment","Perflurododecanoic acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""113"", ""2120"", ""199""]; Cumulative=[""113"", ""2233"", ""2432""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
