"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSANA2_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSANA2_G","WTANA2YR","WTANA2YR","Two-year SSANA subsample weights","Two-year SSANA subsample weights","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""7338.411511 to 277578.52259"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""4265"", ""0"", ""0""]; Cumulative=[""4265"", ""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSANA2_G","SSNDSPSG","SSNDSPSG","nucleus dense fine speckles signal","nucleus dense fine speckles signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNFSPOS","SSNFSPOS","nucleus fine speckles positive","nucleus fine speckles positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNFSPSG","SSNFSPSG","nucleus fine speckles signal","nucleus fine speckles signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUCSPP","SSNUCSPP","nucleus coarse speckles positive","nucleus coarse speckles positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUCSPS","SSNUCSPS","nucleus coarse speckles signal","nucleus coarse speckles signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUCENP","SSNUCENP","nucleus centromere positive","nucleus centromere positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUCENS","SSNUCENS","nuclear centomere signal","nuclear centomere signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUDOTP","SSNUDOTP","nuclear dots positive","nuclear dots positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUDOTS","SSNUDOTS","nuclear dots signal","nuclear dots signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUENVP","SSNUENVP","nuclear envelope positive","nuclear envelope positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNUENVS","SSNUENVS","nuclear envelope signal","nuclear envelope signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNPSPOS","SSNPSPOS","nucleus PCNA-Like positive","nucleus PCNA-Like positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""."", ""0 to 1""]; Value.Description=[""Missing"", ""Range of Values""]; Count=[""0"", ""4265""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSNPSSIG","SSNPSSIG","nucleus PCNP-Like signal","nucleus PCNP-Like signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCENPOS","SSCENPOS","nucleus CEN-F-like positive","nucleus CEN-F-like positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", "".""]; Value.Description=[""0"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCENSIG","SSCENSIG","nucleus CEC-F like signal","nucleus CEC-F like signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", "".""]; Value.Description=[""0"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYHOMP","SSCYHOMP","cytoplasm homogeneous positive","cytoplasm homogeneous positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYHOMS","SSCYHOMS","cytoplasm homogeneous signal","cytoplasm homogeneous signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYSPS","SSCYSPS","cytoplasm speckled positive","cytoplasm speckled positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYTSG","SSCYTSG","cytoplasm speckled signal","cytoplasm speckled signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYMIP","SSCYMIP","cytoplasm mitochondria-like positive","cytoplasm mitochondria-like positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYMIS","SSCYMIS","cytoplasm mitochondria-like signal","cytoplasm mitochondria-like signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYGOP","SSCYGOP","cytoplasm golgi complex positive","cytoplasm golgi complex positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYGOS","SSCYGOS","cytoplasm golgi complex signal","cytoplasm golgi complex signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYGWP","SSCYGWP","cytoplasm GW body positive","cytoplasm GW body positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYGWS","SSCYGWS","cytoplasm GW body signal","cytoplasm GW body signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYFLPS","SSCYFLPS","cytoplasm cytofilament positive","cytoplasm cytofilament positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYFLSG","SSCYFLSG","cytoplasm cytofilament signal","cytoplasm cytofilament signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYRRPS","SSCYRRPS","cytoplasm rods/rings positive","cytoplasm rods/rings positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSCYRRSG","SSCYRRSG","cytoplasm rods/rings signal","cytoplasm rods/rings signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMTCNPS","SSMTCNPS","mitotic centrosome positive","mitotic centrosome positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMTCNSG","SSMTCNSG","mitotic centrosome signal","mitotic centrosome signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMISFPS","SSMISFPS","mitotic spindle fibers positive","mitotic spindle fibers positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMISFSG","SSMISFSG","mitotic spindle fibers signal","mitotic spindle fibers signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMTNMPS","SSMTNMPS","mitotic NuMa positive","mitotic NuMa positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMTNMSG","SSMTNMSG","mitotic NuMa signal","mitotic NuMa signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMTBRPS","SSMTBRPS","mitotic intracellular bridge positive","mitotic intracellular bridge positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMTBRSG","SSMTBRSG","mitotic intracellular bridge signal","mitotic intracellular bridge signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMICHP","SSMICHP","mitotic chromosomes positive","mitotic chromosomes positive","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
"SSANA2_G","SSMICHS","SSMICHS","mitotic chromosomes signal","mitotic chromosomes signal","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4265"", ""0""]; Cumulative=[""4265"", ""4265""]; Skip.to.Item=[""NA"", ""NA""]"
