"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXPRL_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 13 YEARS - 150 YEARS",NA,NA
"OHXPRL_C","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5050"", ""1194"", ""474"", ""0""]; Cumulative=[""5050"", ""6244"", ""6718"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19CJM","OHD19CJM","LOA: mid-facial #19 FGM/CEJ","Loss of Attachment: Lower left 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1869"", ""639"", ""4210""]; Cumulative=[""1869"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19PCM","OHD19PCM","LOA: mid-facial #19 PD","Loss of Attachment: Lower left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1869"", ""639"", ""4210""]; Cumulative=[""1869"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19LAM","OHD19LAM","LOA: mid-facial #19 calculated LA","Loss of Attachment: Lower left 1st molar (1M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1869"", ""639"", ""4210""]; Cumulative=[""1869"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19CJS","OHD19CJS","LOA: mesial #19 FGM/CEJ","Loss of Attachment: Lower left 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1878"", ""630"", ""4210""]; Cumulative=[""1878"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19PCS","OHD19PCS","LOA: mesial #19 PD","Loss of Attachment: Lower left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1878"", ""630"", ""4210""]; Cumulative=[""1878"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19LAS","OHD19LAS","LOA: mesial #19 calculated LA","Loss of Attachment: Lower left 1st molar (1M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1878"", ""630"", ""4210""]; Cumulative=[""1878"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19CJD","OHD19CJD","LOA: distal #19 FGM/CEJ","Loss of Attachment: Lower left 1st molar (1M) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-11 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1878"", ""630"", ""4210""]; Cumulative=[""1878"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19PCD","OHD19PCD","LOA: distal #19 PD","Loss of Attachment: Lower left 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1878"", ""630"", ""4210""]; Cumulative=[""1878"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD19LAD","OHD19LAD","LOA: distal #19 calculated LA","Loss of Attachment: Lower left 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1878"", ""630"", ""4210""]; Cumulative=[""1878"", ""2508"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20CJM","OHD20CJM","LOA: mid-facial #20 FGM/CEJ","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2165"", ""336"", ""4217""]; Cumulative=[""2165"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20PCM","OHD20PCM","LOA: mid-facial #20 PD","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2165"", ""336"", ""4217""]; Cumulative=[""2165"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20LAM","OHD20LAM","LOA: mid-facial #20 calculated LA","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2165"", ""336"", ""4217""]; Cumulative=[""2165"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20CJS","OHD20CJS","LOA: mesial #20 FGM/CEJ","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2057"", ""444"", ""4217""]; Cumulative=[""2057"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20PCS","OHD20PCS","LOA: mesial #20 PD","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2057"", ""444"", ""4217""]; Cumulative=[""2057"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20LAS","OHD20LAS","LOA: mesial #20 calculated LA","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2057"", ""444"", ""4217""]; Cumulative=[""2057"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20CJD","OHD20CJD","LOA: distal #20 FGM/CEJ","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2206"", ""295"", ""4217""]; Cumulative=[""2206"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20PCD","OHD20PCD","LOA: distal #20 PD","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2206"", ""295"", ""4217""]; Cumulative=[""2206"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD20LAD","OHD20LAD","LOA: distal #20 calculated LA","Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2206"", ""295"", ""4217""]; Cumulative=[""2206"", ""2501"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21CJM","OHD21CJM","LOA: mid-facial #21 FGM/CEJ","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 1"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2224"", ""276"", ""4218""]; Cumulative=[""2224"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21PCM","OHD21PCM","LOA: mid-facial #21 PD","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2224"", ""276"", ""4218""]; Cumulative=[""2224"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21LAM","OHD21LAM","LOA: mid-facial #21 calculated LA","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2224"", ""276"", ""4218""]; Cumulative=[""2224"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21CJS","OHD21CJS","LOA: mesial #21 FGM/CEJ","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2200"", ""300"", ""4218""]; Cumulative=[""2200"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21PCS","OHD21PCS","LOA: mesial #21 PD","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2200"", ""300"", ""4218""]; Cumulative=[""2200"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21LAS","OHD21LAS","LOA: mesial #21 calculated LA","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2200"", ""300"", ""4218""]; Cumulative=[""2200"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21CJD","OHD21CJD","LOA: distal #21 FGM/CEJ","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2244"", ""256"", ""4218""]; Cumulative=[""2244"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21PCD","OHD21PCD","LOA: distal #21 PD","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2244"", ""256"", ""4218""]; Cumulative=[""2244"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD21LAD","OHD21LAD","LOA: distal #21 calculated LA","Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2244"", ""256"", ""4218""]; Cumulative=[""2244"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22CJM","OHD22CJM","LOA: mid-facial #22 FGM/CEJ","Loss of Attachment: Lower left cuspid (C) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2387"", ""113"", ""4218""]; Cumulative=[""2387"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22PCM","OHD22PCM","LOA: mid-facial #22 PD","Loss of Attachment: Lower left cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2387"", ""113"", ""4218""]; Cumulative=[""2387"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22LAM","OHD22LAM","LOA: mid-facial #22 calculated LA","Loss of Attachment: Lower left cuspid (C) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2387"", ""113"", ""4218""]; Cumulative=[""2387"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22CJS","OHD22CJS","LOA: mesial #22 FGM/CEJ","Loss of Attachment: Lower left cuspid (C) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2378"", ""122"", ""4218""]; Cumulative=[""2378"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22PCS","OHD22PCS","LOA: mesial #22 PD","Loss of Attachment: Lower left cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2378"", ""122"", ""4218""]; Cumulative=[""2378"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22LAS","OHD22LAS","LOA: mesial #22 calculated LA","Loss of Attachment: Lower left cuspid (C) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2378"", ""122"", ""4218""]; Cumulative=[""2378"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22CJD","OHD22CJD","LOA: distal #22 FGM/CEJ","Loss of Attachment: Lower left cuspid (C) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2373"", ""127"", ""4218""]; Cumulative=[""2373"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22PCD","OHD22PCD","LOA: distal #22 PD","Loss of Attachment: Lower left cuspid (C) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2373"", ""127"", ""4218""]; Cumulative=[""2373"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD22LAD","OHD22LAD","LOA: distal #22 calculated LA","Loss of Attachment: Lower left cuspid (C) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2373"", ""127"", ""4218""]; Cumulative=[""2373"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD23CJM","OHD23CJM","LOA: mid-facial #23 FGM/CEJ","Loss of Attachment: Lower left lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2356"", ""144"", ""4218""]; Cumulative=[""2356"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD23PCM","OHD23PCM","LOA: mid-facial #23 PD","Loss of Attachment: Lower left lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2356"", ""144"", ""4218""]; Cumulative=[""2356"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD23LAM","OHD23LAM","LOA: mid-facial #23 calculated LA","Loss of Attachment: Lower left lateral incisor (LI) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2356"", ""144"", ""4218""]; Cumulative=[""2356"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD23CJS","OHD23CJS","LOA: mesial #23 FGM/CEJ","Loss of Attachment: Lower left lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2296"", ""204"", ""4218""]; Cumulative=[""2296"", ""2500"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
