"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXT9_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT9_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT9_H","DXXSMY","DXXSMY","y-coordinate of superior mid point","y-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""42.1 to 260.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXSAX","DXXSAX","x-coordinate of superior anterior point","x-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""117.8 to 752.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXSAY","DXXSAY","y-coordinate of superior anterior point","y-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""77.6 to 295.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXIAX","DXXIAX","x-coordinate of inferior anterior point","x-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""117.1 to 757.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXIAY","DXXIAY","y-coordinate of inferior anterior point","y-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""112.3 to 329.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXIMX","DXXIMX","x-coordinate of inferior mid point","x-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""108.2 to 758.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXIMY","DXXIMY","y-coordinate of inferior mid point","y-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""112.7 to 342.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXIPX","DXXIPX","x-coordinate of inferior posterior point","x-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""162.6 to 812.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXIPY","DXXIPY","y-coordinate of inferior posterior point","y-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""78.1 to 308.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT0X","DXXPT0X","x-coordinate of first outline point","x-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""167.7 to 813.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT0Y","DXXPT0Y","y-coordinate of first outline point","y-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""43.5 to 274.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT1X","DXXPT1X","x-coordinates of outline points 2","x-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""175.4 to 814.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT1Y","DXXPT1Y","y-coordinates of outline points 2","y-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""112.9 to 330.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT2X","DXXPT2X","x-coordinates of outline points 3","x-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""108.1 to 758.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT2Y","DXXPT2Y","y-coordinates of outline points 3","y-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""117.4 to 333.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT3X","DXXPT3X","x-coordinates of outline points 4","x-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""107.7 to 760"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT3Y","DXXPT3Y","y-coordinates of outline points 4","y-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""121.1 to 349.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT4X","DXXPT4X","x-coordinates of outline points 5","x-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""160 to 811.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT4Y","DXXPT4Y","y-coordinates of outline points 5","y-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""116.4 to 344.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT5X","DXXPT5X","x-coordinates of outline points 6","x-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""161.8 to 811.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT5Y","DXXPT5Y","y-coordinates of outline points 6","y-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""40.7 to 272"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT6X","DXXPT6X","x-coordinates of outline points 7","x-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""177.4 to 816.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT6Y","DXXPT6Y","y-coordinates of outline points 7","y-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""41.3 to 271.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT7X","DXXPT7X","x-coordinates of outline points 8","x-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""174.9 to 814.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT7Y","DXXPT7Y","y-coordinates of outline points 8","y-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""39.8 to 258.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT8X","DXXPT8X","x-coordinates of outline points 9","x-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""115.6 to 750.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT8Y","DXXPT8Y","y-coordinates of outline points 9","y-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""39 to 258.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT9X","DXXPT9X","x-coordinates of outline points 10","x-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""118.3 to 752"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT9Y","DXXPT9Y","y-coordinates of outline points 10","y-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""115.5 to 332.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT10X","DXXPT10X","x-coordinates of outline points 11","x-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""107.6 to 759"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT10Y","DXXPT10Y","y-coordinates of outline points 11","y-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""118.7 to 347.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT11X","DXXPT11X","x-coordinates of outline points 12","x-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""161.5 to 812.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT11Y","DXXPT11Y","y-coordinates of outline points 12","y-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""43.5 to 274.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT12X","DXXPT12X","x-coordinates of outline points 13","x-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""175.4 to 814.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT12Y","DXXPT12Y","y-coordinates of outline points 13","y-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""42.1 to 260.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT13X","DXXPT13X","x-coordinates of outline points 14","x-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""117.8 to 752.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT13Y","DXXPT13Y","y-coordinates of outline points 14","y-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""116.1 to 333.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT14X","DXXPT14X","x-coordinates of outline points 15","x-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""111.9 to 763.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT14Y","DXXPT14Y","y-coordinates of outline points 15","y-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""114.5 to 333.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT15X","DXXPT15X","x-coordinates of outline points 16","x-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""115.9 to 766.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT15Y","DXXPT15Y","y-coordinates of outline points 16","y-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""113.9 to 333"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT16X","DXXPT16X","x-coordinates of outline points 17","x-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""120.3 to 771.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT16Y","DXXPT16Y","y-coordinates of outline points 17","y-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""114 to 333.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT17X","DXXPT17X","x-coordinates of outline points 18","x-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""124.7 to 775.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT17Y","DXXPT17Y","y-coordinates of outline points 18","y-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""114.3 to 335.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT18X","DXXPT18X","x-coordinates of outline points 19","x-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""129.4 to 780.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT18Y","DXXPT18Y","y-coordinates of outline points 19","y-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""114.8 to 336.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT19X","DXXPT19X","x-coordinates of outline points 20","x-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""134 to 784.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT19Y","DXXPT19Y","y-coordinates of outline points 20","y-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""114.7 to 337.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT20X","DXXPT20X","x-coordinates of outline points 21","x-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""138.6 to 789.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT20Y","DXXPT20Y","y-coordinates of outline points 21","y-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""114.8 to 339.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPT21X","DXXPT21X","x-coordinates of outline points 22","x-coordinates of outline points 22","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""143 to 793.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3292"", ""416""]; Cumulative=[""3292"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
