"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXPER_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 30 YEARS - 150 YEARS",NA,NA
"OHXPER_H","OHX03PCS","OHX03PCS","LOA: Max R(1M) MF FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2599"", ""1413"", ""657""]; Cumulative=[""2599"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03PCP","OHX03PCP","LOA: Max R(1M) DL FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2595"", ""1417"", ""657""]; Cumulative=[""2595"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03PCL","OHX03PCL","LOA: Max R(1M) MdL FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2602"", ""1410"", ""657""]; Cumulative=[""2602"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03PCA","OHX03PCA","LOA: Max R(1M) ML FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2600"", ""1412"", ""657""]; Cumulative=[""2600"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03LAD","OHX03LAD","LOA: Max R(1M) DF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2596"", ""1416"", ""657""]; Cumulative=[""2596"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03LAM","OHX03LAM","LOA: Max R(1M) MdF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 16"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2599"", ""1413"", ""657""]; Cumulative=[""2599"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03LAS","OHX03LAS","LOA: Max R(1M) MF calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2599"", ""1413"", ""657""]; Cumulative=[""2599"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03LAP","OHX03LAP","LOA: Max R(1M) DL calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2595"", ""1417"", ""657""]; Cumulative=[""2595"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03LAL","OHX03LAL","LOA: Max R(1M) MdL calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mid- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2602"", ""1410"", ""657""]; Cumulative=[""2602"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03LAA","OHX03LAA","LOA: Max R(1M) ML calculated AL(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2600"", ""1412"", ""657""]; Cumulative=[""2600"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
