"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXL2_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXL2_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL2_H","DXXPT0X","DXXPT0X","x-coordinate of first outline point","x-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""552.9 to 1138"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT0Y","DXXPT0Y","y-coordinate of first outline point","y-coordinate of first outline point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""89 to 336.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT1X","DXXPT1X","x-coordinates of outline points 2","x-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""561.9 to 1140.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT1Y","DXXPT1Y","y-coordinates of outline points 2","y-coordinates of outline points 2","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""167.6 to 399.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT2X","DXXPT2X","x-coordinates of outline points 3","x-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""479.4 to 1070.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT2Y","DXXPT2Y","y-coordinates of outline points 3","y-coordinates of outline points 3","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""174.3 to 404"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT3X","DXXPT3X","x-coordinates of outline points 4","x-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""480.6 to 1072.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT3Y","DXXPT3Y","y-coordinates of outline points 4","y-coordinates of outline points 4","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""181.4 to 412.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT4X","DXXPT4X","x-coordinates of outline points 5","x-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""545.1 to 1132.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT4Y","DXXPT4Y","y-coordinates of outline points 5","y-coordinates of outline points 5","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""176.8 to 408.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT5X","DXXPT5X","x-coordinates of outline points 6","x-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""548.3 to 1136.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT5Y","DXXPT5Y","y-coordinates of outline points 6","y-coordinates of outline points 6","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""86.4 to 335.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT6X","DXXPT6X","x-coordinates of outline points 7","x-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""562.9 to 1141.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT6Y","DXXPT6Y","y-coordinates of outline points 7","y-coordinates of outline points 7","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""89.4 to 336.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT7X","DXXPT7X","x-coordinates of outline points 8","x-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""561.6 to 1140.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT7Y","DXXPT7Y","y-coordinates of outline points 8","y-coordinates of outline points 8","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""80 to 319.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT8X","DXXPT8X","x-coordinates of outline points 9","x-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""485.7 to 1066.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT8Y","DXXPT8Y","y-coordinates of outline points 9","y-coordinates of outline points 9","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""76.4 to 318.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT9X","DXXPT9X","x-coordinates of outline points 10","x-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""488.3 to 1068.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT9Y","DXXPT9Y","y-coordinates of outline points 10","y-coordinates of outline points 10","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""170.7 to 402.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT10X","DXXPT10X","x-coordinates of outline points 11","x-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""479.6 to 1071.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT10Y","DXXPT10Y","y-coordinates of outline points 11","y-coordinates of outline points 11","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""179.8 to 411.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT11X","DXXPT11X","x-coordinates of outline points 12","x-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""547.1 to 1134.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT11Y","DXXPT11Y","y-coordinates of outline points 12","y-coordinates of outline points 12","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""89 to 336.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT12X","DXXPT12X","x-coordinates of outline points 13","x-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""561.9 to 1140.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT12Y","DXXPT12Y","y-coordinates of outline points 13","y-coordinates of outline points 13","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""80.2 to 319.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT13X","DXXPT13X","x-coordinates of outline points 14","x-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""488 to 1068.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT13Y","DXXPT13Y","y-coordinates of outline points 14","y-coordinates of outline points 14","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""174.3 to 402.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT14X","DXXPT14X","x-coordinates of outline points 15","x-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""485.4 to 1077.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT14Y","DXXPT14Y","y-coordinates of outline points 15","y-coordinates of outline points 15","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""173.3 to 401.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT15X","DXXPT15X","x-coordinates of outline points 16","x-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""490.4 to 1081.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT15Y","DXXPT15Y","y-coordinates of outline points 16","y-coordinates of outline points 16","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""172.4 to 400"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT16X","DXXPT16X","x-coordinates of outline points 17","x-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""495.5 to 1086.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT16Y","DXXPT16Y","y-coordinates of outline points 17","y-coordinates of outline points 17","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""171.7 to 399.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT17X","DXXPT17X","x-coordinates of outline points 18","x-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""501.3 to 1091.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT17Y","DXXPT17Y","y-coordinates of outline points 18","y-coordinates of outline points 18","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""171.5 to 399.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT18X","DXXPT18X","x-coordinates of outline points 19","x-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""506.9 to 1096.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT18Y","DXXPT18Y","y-coordinates of outline points 19","y-coordinates of outline points 19","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""171.8 to 400.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT19X","DXXPT19X","x-coordinates of outline points 20","x-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""513 to 1101.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT19Y","DXXPT19Y","y-coordinates of outline points 20","y-coordinates of outline points 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""172.4 to 401.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT20X","DXXPT20X","x-coordinates of outline points 21","x-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""518.6 to 1107"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT20Y","DXXPT20Y","y-coordinates of outline points 21","y-coordinates of outline points 21","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""173.4 to 402.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPT21X","DXXPT21X","x-coordinates of outline points 22","x-coordinates of outline points 22","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""524.4 to 1112.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3281"", ""427""]; Cumulative=[""3281"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
