"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXPRU_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 13 YEARS - 150 YEARS",NA,NA
"OHXPRU_B","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5488"", ""1147"", ""495"", ""0""]; Cumulative=[""5488"", ""6635"", ""7130"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05LAS","OHD05LAS","LOA: mesial #5 calculated LA","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2322"", ""479"", ""4329""]; Cumulative=[""2322"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05CJD","OHD05CJD","LOA: distal #5 FGM/CEJ","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2318"", ""483"", ""4329""]; Cumulative=[""2318"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05PCD","OHD05PCD","LOA: distal #5 PD","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2318"", ""483"", ""4329""]; Cumulative=[""2318"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05LAD","OHD05LAD","LOA: distal #5 calculated LA","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2318"", ""483"", ""4329""]; Cumulative=[""2318"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06CJM","OHD06CJM","LOA: mid-facial #6 FGM/CEJ","Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-9 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2533"", ""266"", ""4331""]; Cumulative=[""2533"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06PCM","OHD06PCM","LOA: mid-facial #6 PD","Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2533"", ""266"", ""4331""]; Cumulative=[""2533"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06LAM","OHD06LAM","LOA: mid-facial #6 calculated LA","Loss of Attachment: Upper right cuspid (C) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2533"", ""266"", ""4331""]; Cumulative=[""2533"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06CJS","OHD06CJS","LOA: mesial #6 FGM/CEJ","Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2575"", ""224"", ""4331""]; Cumulative=[""2575"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06PCS","OHD06PCS","LOA: mesial #6 PD","Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2575"", ""224"", ""4331""]; Cumulative=[""2575"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06LAS","OHD06LAS","LOA: mesial #6 calculated LA","Loss of Attachment: Upper right cuspid (C) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2575"", ""224"", ""4331""]; Cumulative=[""2575"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06CJD","OHD06CJD","LOA: distal #6 FGM/CEJ","Loss of Attachment: Upper right cuspid (C) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-9 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2574"", ""225"", ""4331""]; Cumulative=[""2574"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06PCD","OHD06PCD","LOA: distal #6 PD","Loss of Attachment: Upper right cuspid (C) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2574"", ""225"", ""4331""]; Cumulative=[""2574"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD06LAD","OHD06LAD","LOA: distal #6 calculated LA","Loss of Attachment: Upper right cuspid (C) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2574"", ""225"", ""4331""]; Cumulative=[""2574"", ""2799"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD07CJM","OHD07CJM","LOA: mid-facial #7 FGM/CEJ","Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2466"", ""334"", ""4330""]; Cumulative=[""2466"", ""2800"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD07PCM","OHD07PCM","LOA: mid-facial #7 PD","Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2466"", ""334"", ""4330""]; Cumulative=[""2466"", ""2800"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD07LAM","OHD07LAM","LOA: mid-facial #7 calculated LA","Loss of Attachment: Upper right lateral incisor (LI) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2466"", ""334"", ""4330""]; Cumulative=[""2466"", ""2800"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD07CJS","OHD07CJS","LOA: mesial #7 FGM/CEJ","Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2504"", ""296"", ""4330""]; Cumulative=[""2504"", ""2800"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
