Years,Lab Method Name,Documentation,Release Date,PDF Link
2019-2020,Folate Forms - RBCs,[PDF - 2.39 MB],May 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FFMR-K-R-MET-508.pdf
2019-2020,Folate Forms - Total & Individual - Serum,[PDF - 1.96 MB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FOLFMS-K-MET-508.pdf
2019-2020,Follicle-Stimulating Hormone,[PDF - 872 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TST-K-R-FSH-MET-508.pdf
2017-2018,Follicle-Stimulating Hormone (FSH),[PDF - 1.05 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-FSH-508.pdf
2019-2020,FT3,[PDF - 791 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-FT3-508.pdf
2019-2020,FT4,[PDF - 831 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-FT4-508.pdf
2017-2018,Glycohemoglobin G8,[PDF - 890 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GHB-J-G8-508.pdf
2017-2018,Glycohemoglobin Premier,[PDF - 792 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GHB-J-Premier-508.pdf
2019-2020,Glycohemoglobin_G8,[PDF - 963 KB],May 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GHB-K-G8-MET-508.pdf
2019-2020,Glycohemoglobin_Premier,[PDF - 786 KB],May 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GHB-K-Premier-MET-508.pdf
2019-2020,Hemoglobin Variants,[PDF - 1.37 MB],March 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HBVR-K-R-MET-508.pdf
2017-2018,Hepatitis A Antibody,[PDF - 655 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPA-J-MET-HEPATITIS-A-ANTIBODY-508.pdf
2019-2020,Hepatitis A Antibody,[PDF - 899 KB],August 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPA-K-HEPATITIS A ANTIBODY-508.pdf
2017-2018,Hepatitis B Core Antibody,[PDF - 681 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-J-MET-HEPATITIS-B-CORE-ANTIBODY-508.pdf
2019-2020,Hepatitis B Core Antibody,[PDF - 906 KB],August 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-K-MET-HEPATITIS-B-CORE-ANTIBODY-508.pdf
2017-2018,Hepatitis B Surface Antibody,[PDF - 719 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPB-S-J-MET-HEPATITIS-B-SURFACE-ANTIBODY-508.pdf
2019-2020,Hepatitis B Surface Antibody,[PDF - 914 KB],August 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPB-S-K-HEPATITIS B SURFACE ANTIBODY-508.pdf
